Source,Destination,Number of Tweets
US,RU,31451.0
GB,MY,29532.0
KR,US,64503.0
BE,US,21710.0
GB,MX,52770.0
US,DE,156198.0
US,IT,191321.0
US,PA,21316.0
US,HK,155670.0
US,TH,31908.0
US,CA,932084.0
PH,MY,1617.0
CU,IN,5968.0
US,GB,1255913.0
US,MY,75696.0
IN,US,509657.0
GB,US,1117117.0
US,CO,92821.0
LB,GB,1865.0
AU,PL,503.0
MX,CO,4339.0
US,ZA,148087.0
DE,TR,4389.0
US,AT,16599.0
IN,SA,11011.0
RU,CA,575.0
ZA,DE,1549.0
US,IN,431829.0
GB,FR,23327.0
US,KE,61462.0
US,TR,34942.0
US,AU,284948.0
TH,US,21861.0
US,NG,135439.0
HK,US,96064.0
NG,US,95513.0
GB,CO,8952.0
BE,GB,14831.0
US,JP,176300.0
GB,IT,21738.0
NL,US,76923.0
NZ,GB,2569.0
GB,IN,57978.0
EG,IT,134.0
SE,US,11783.0
US,SA,18909.0
AU,US,173699.0
IN,PK,6813.0
JP,US,42291.0
CO,ES,5458.0
GB,JP,13695.0
US,CM,1405.0
AU,FR,1198.0
US,SG,11546.0
US,ZW,6531.0
CO,US,59993.0
DE,US,117343.0
ID,US,52659.0
FR,NG,599.0
US,NO,28840.0
IN,GB,56157.0
US,IL,19001.0
ZA,ZW,5808.0
US,MX,139541.0
MX,US,61018.0
US,CZ,2464.0
AU,NZ,3574.0
IL,CO,2368.0
AU,GB,35576.0
US,ES,84417.0
DE,CH,20146.0
GB,ML,94.0
IN,MY,4084.0
NZ,US,10046.0
IT,CA,2723.0
US,CH,43513.0
CN,PK,1788.0
US,NL,144438.0
NG,GB,14209.0
ZA,NG,5223.0
US,VE,33473.0
US,CN,19194.0
BE,NO,267.0
GB,ES,26787.0
ES,JP,2206.0
GB,SA,3796.0
IL,NO,196.0
IT,CH,1738.0
AU,CA,23361.0
DE,HK,18964.0
GB,ID,6272.0
KE,US,39212.0
IR,GB,189.0
US,ID,63338.0
PG,US,365.0
HK,BR,3339.0
CA,US,410838.0
US,CU,11899.0
GR,RO,34.0
US,IE,29145.0
US,EE,1165.0
MY,BN,917.0
DE,VN,133.0
BD,IN,3681.0
GB,BR,6728.0
BR,US,30622.0
CA,TW,342.0
ZA,US,98465.0
US,DK,17927.0
PK,AE,3289.0
GB,AU,46312.0
SI,RU,8.0
MY,DE,556.0
IN,AE,15228.0
MY,US,35401.0
CA,AU,10927.0
CO,CA,3312.0
GB,PK,7409.0
US,FR,61553.0
CH,GB,11932.0
US,GH,13047.0
GB,IE,15070.0
US,BR,58107.0
GB,CA,64860.0
GB,NG,54285.0
ES,CL,1260.0
IL,VE,1033.0
GB,GH,6772.0
HK,JP,10358.0
ES,VE,1969.0
EG,US,3195.0
MX,SV,112.0
HK,CA,6687.0
GB,PL,5565.0
HK,IN,12142.0
IN,NZ,2108.0
CA,GB,40843.0
AU,JP,4267.0
US,BM,3652.0
TR,KR,65.0
US,PE,9418.0
FR,US,72106.0
GB,HK,29404.0
GB,NZ,4560.0
GB,SE,8951.0
US,EG,13548.0
US,HU,2341.0
MX,GB,44817.0
CN,AU,2902.0
MY,MX,3806.0
TH,BR,140.0
IN,CA,19426.0
CA,DE,5122.0
US,SD,2417.0
CH,US,36874.0
DE,GB,23340.0
IT,DE,2951.0
US,AR,13266.0
GR,GB,6921.0
US,SE,47438.0
CO,FR,583.0
US,PH,49688.0
KW,US,1071.0
TR,DE,4933.0
IT,US,93945.0
US,KR,24175.0
JP,DE,1092.0
US,FJ,1080.0
US,CL,13711.0
PK,US,18106.0
AU,DE,7740.0
AE,US,1274.0
DE,AT,14897.0
US,NP,5907.0
HK,DE,2220.0
KR,IN,7110.0
CN,FR,539.0
UG,US,2741.0
HK,GB,17025.0
KR,CH,133.0
US,PR,52821.0
VN,AU,234.0
AT,DE,21962.0
PH,US,25721.0
CN,US,37395.0
CN,SG,599.0
FR,HK,3060.0
FJ,AU,718.0
GB,PA,982.0
US,GR,27622.0
SA,CA,226.0
CN,GB,5367.0
CU,CO,3614.0
CH,MC,2841.0
CA,KE,1312.0
TR,GH,49.0
US,IQ,9317.0
KR,TW,723.0
PS,TN,35.0
US,PK,24369.0
PR,CO,378.0
CA,FI,327.0
NG,CA,6358.0
PL,GB,6090.0
FR,GB,10696.0
US,SI,4959.0
NL,FR,781.0
CL,ES,343.0
CH,CA,3150.0
CL,US,3629.0
GB,IL,2008.0
NL,BY,1.0
CN,HK,5505.0
JP,TW,1270.0
VE,US,9056.0
IN,JP,4555.0
AT,US,6920.0
ES,GB,6914.0
GB,TN,279.0
CN,UG,180.0
AT,GB,808.0
FR,PT,210.0
GB,KE,21329.0
DE,IT,4194.0
US,MC,4766.0
CG,ZA,2773.0
CA,HK,4842.0
MX,ID,2770.0
PR,US,17048.0
AR,QA,4.0
GB,ZA,33117.0
KR,MX,645.0
IL,US,44741.0
CH,IN,9521.0
NO,US,19849.0
BE,DE,7897.0
ES,PA,587.0
IN,AU,18765.0
PS,US,19520.0
ID,GB,2433.0
HT,NZ,2.0
IL,AU,1254.0
IL,ZA,1074.0
CN,IN,9843.0
ZW,GB,3003.0
BE,AU,1278.0
ZW,ZA,4903.0
CA,IN,22095.0
JP,IR,6.0
US,RO,5258.0
SE,DE,1168.0
KW,EG,1517.0
US,PL,23836.0
SG,HK,133.0
TR,US,13933.0
MV,US,558.0
RU,US,4908.0
AZ,PK,218.0
NP,GB,504.0
CO,GB,4591.0
US,BE,28346.0
IL,ES,673.0
DJ,ES,2076.0
CG,US,5035.0
HK,ZA,1021.0
HR,US,1435.0
US,AI,2337.0
RW,GH,29.0
CN,KE,932.0
FR,IN,2566.0
US,PT,22154.0
IT,IN,3585.0
LI,US,166.0
HK,UG,92.0
IQ,US,2486.0
GU,US,329.0
GB,BE,8022.0
PH,CA,6304.0
CU,US,12232.0
IN,CH,4321.0
CO,TH,82.0
GB,DE,27051.0
GL,US,290.0
US,TW,14137.0
US,LB,8223.0
CH,HK,3115.0
ES,US,21411.0
GB,IR,378.0
AU,CH,3042.0
BE,GR,1378.0
KR,GB,1859.0
ZW,PK,660.0
US,HR,4245.0
ID,MY,4537.0
CU,VE,14103.0
GB,NL,14896.0
CO,MX,7059.0
SK,PL,43.0
PK,PH,293.0
LB,US,10971.0
US,KW,4380.0
IN,GY,58.0
SE,DK,463.0
US,VN,9122.0
KH,US,492.0
CN,CH,368.0
PA,VE,452.0
US,NZ,32837.0
ID,AU,1320.0
CZ,US,1811.0
VG,US,2027.0
HK,IT,2752.0
KR,ZA,306.0
CH,ES,7786.0
ZA,KE,5089.0
AU,ID,10737.0
NZ,IN,2056.0
IN,HK,6717.0
TH,KW,15.0
TW,KE,20.0
IN,SK,100.0
DE,CO,4287.0
CN,BD,192.0
NL,HK,459.0
CO,IN,1908.0
GB,PT,6347.0
ES,CO,5275.0
DJ,US,364.0
DE,AU,2719.0
KE,AU,948.0
FR,BD,39.0
ZA,NL,637.0
PY,FR,10.0
VC,AG,46.0
IN,NG,5364.0
AU,CN,541.0
US,JO,2445.0
AU,ZA,2689.0
ZA,CN,462.0
FR,CO,1182.0
HK,AU,6951.0
DE,BE,5358.0
PK,MY,1857.0
IT,CO,2006.0
KP,US,1124.0
AU,BR,590.0
DE,JO,365.0
IN,NO,762.0
PS,GB,727.0
CN,SA,636.0
IL,IE,254.0
HK,CO,706.0
CU,DE,504.0
AU,EE,68.0
TR,GB,3429.0
ZW,CA,466.0
NG,FR,1139.0
TW,IN,1372.0
MY,NG,1739.0
US,IR,2008.0
IN,CN,2086.0
GB,SI,1018.0
US,PG,1511.0
NZ,GR,16.0
JP,IT,914.0
GB,OM,129.0
GR,US,7340.0
DE,NL,6668.0
GB,UG,2267.0
US,EC,4826.0
IN,IT,3542.0
CA,CL,322.0
GB,AE,2453.0
US,IS,1029.0
NO,AU,3331.0
CO,DE,1999.0
SV,US,1683.0
IR,AU,36.0
US,VG,1182.0
UG,TR,19.0
SA,US,2789.0
CA,FR,3516.0
IN,ZA,4997.0
TR,ID,8742.0
GB,RO,2454.0
GB,BD,1183.0
DE,GR,802.0
ID,ZA,162.0
GB,GR,6811.0
VE,CU,9449.0
FI,US,1837.0
BD,GB,628.0
ZA,IN,4161.0
HK,TW,5267.0
GH,US,3514.0
LB,AR,41.0
PA,US,5022.0
CA,BR,1285.0
AU,IN,15705.0
PH,PK,627.0
NL,CN,176.0
PL,PK,40.0
US,PY,3405.0
VE,AR,879.0
ZW,NG,7532.0
JM,CA,106.0
US,BS,4457.0
US,LY,2285.0
PL,US,17493.0
GR,MX,213.0
KE,ZA,2911.0
ZA,JP,544.0
CN,ID,2025.0
MX,ES,2311.0
ZA,LS,584.0
GB,TH,3958.0
PE,US,953.0
CH,FR,2483.0
HK,ID,2706.0
JP,HK,5068.0
MX,BS,6.0
VE,CL,903.0
US,RW,385.0
IN,DE,7236.0
NG,GR,393.0
ES,BE,504.0
MY,PH,161.0
HR,PH,7.0
IT,FR,1412.0
KW,SA,9475.0
PF,US,217.0
CO,PR,1147.0
DK,US,6028.0
PH,LB,53.0
SA,GB,936.0
FI,MY,132.0
CD,FR,27.0
GB,JM,488.0
PK,GB,7764.0
IN,BE,502.0
TR,FR,433.0
CN,DE,2819.0
IN,TW,778.0
HK,HR,111.0
EC,US,10827.0
NG,AU,564.0
PH,IN,825.0
GB,EG,2597.0
NL,AU,876.0
IN,ES,2405.0
BE,CO,1535.0
MY,KR,958.0
KR,JP,1076.0
ES,ID,81.0
CU,IT,1296.0
GB,HU,633.0
PA,AU,1581.0
US,LV,1515.0
BE,CA,2209.0
CR,GB,23.0
EC,AU,81.0
GB,KR,2156.0
MY,IN,1752.0
CN,MY,2240.0
CU,EG,358.0
HK,MX,823.0
CN,VE,3552.0
US,MV,1504.0
CH,MA,81.0
FR,KE,183.0
