Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
US,US,126.0,297.0,297.0,161.0,136.0,92.64705882352942,78.26086956521739,1.9193301106521533e-07,0.21212121212121213,0.42424242424242425
GB,GB,43.0,111.0,111.0,54.0,57.0,75.43859649122807,79.62962962962963,3.2169060231777333e-07,0.19369369369369369,0.38738738738738737
IN,IN,10.0,24.0,24.0,10.0,14.0,71.42857142857143,100.0,3.6592030404780585e-09,0.20833333333333334,0.4166666666666667
AU,AU,15.0,34.0,34.0,15.0,19.0,78.94736842105263,100.0,2.956911064039715e-07,0.22058823529411764,0.4411764705882353
CA,CA,13.0,35.0,35.0,15.0,20.0,65.0,86.66666666666667,1.729217242945605e-07,0.18571428571428572,0.37142857142857144
NZ,NZ,6.0,12.0,12.0,6.0,6.0,100.0,100.0,6.101281269066504e-07,0.25,0.5
CO,CO,1.0,2.0,2.0,1.0,1.0,100.0,100.0,9.932569178407476e-09,0.25,0.5
ES,ES,2.0,7.0,7.0,4.0,3.0,66.66666666666666,50.0,2.1241894172840747e-08,0.14285714285714285,0.2857142857142857
MX,MX,1.0,5.0,5.0,2.0,3.0,33.33333333333333,50.0,3.919246927049779e-09,0.1,0.2
JP,JP,1.0,5.0,5.0,1.0,4.0,25.0,100.0,3.9599277173802125e-09,0.1,0.2
US,GB,10.0,297.0,111.0,161.0,57.0,17.543859649122805,6.211180124223603,2.5311718367808872e-08,0.024509803921568627,0.045871559633027525
GB,AU,1.0,111.0,34.0,54.0,19.0,5.263157894736842,1.8518518518518516,1.0846138501370821e-08,0.006896551724137931,0.0136986301369863
GB,US,7.0,111.0,297.0,54.0,136.0,5.147058823529411,12.962962962962962,1.771820285746621e-08,0.01715686274509804,0.03684210526315789
ES,GB,2.0,7.0,111.0,4.0,57.0,3.508771929824561,50.0,1.755753820349127e-08,0.01694915254237288,0.03278688524590164
NG,NG,3.0,10.0,10.0,5.0,5.0,60.0,60.0,7.464038300787e-09,0.15,0.3
KE,KE,2.0,4.0,4.0,2.0,2.0,100.0,100.0,1.9020818533155178e-08,0.25,0.5
US,ES,1.0,297.0,7.0,161.0,3.0,33.33333333333333,0.6211180124223602,2.6644192893895706e-09,0.003289473684210526,0.006097560975609756
NG,US,1.0,10.0,297.0,5.0,136.0,0.7352941176470588,20.0,1.8896335989491764e-09,0.003257328990228013,0.0070921985815602835
ZA,ZA,4.0,10.0,10.0,5.0,5.0,80.0,80.0,3.4154014454320455e-08,0.2,0.4
DE,SK,1.0,5.0,1.0,2.0,1.0,100.0,50.0,1.1288354328618805e-08,0.16666666666666666,0.3333333333333333
US,CA,6.0,297.0,35.0,161.0,20.0,30.0,3.7267080745341614,1.640111507354458e-08,0.018072289156626505,0.03314917127071823
SE,CH,1.0,1.0,1.0,1.0,1.0,100.0,100.0,5.302146812733742e-08,0.5,0.5
US,ID,1.0,297.0,1.0,161.0,1.0,100.0,0.6211180124223602,1.6698251660155626e-09,0.003355704697986577,0.006172839506172839
ZA,CA,1.0,10.0,35.0,5.0,20.0,5.0,20.0,1.0400682983729628e-08,0.022222222222222223,0.04
US,DE,2.0,297.0,5.0,161.0,3.0,66.66666666666666,1.2422360248447204,4.8617758002688375e-09,0.006622516556291391,0.012195121951219513
MX,GB,1.0,5.0,111.0,2.0,57.0,1.7543859649122806,50.0,5.14377007092652e-09,0.008620689655172414,0.01694915254237288
IL,GB,1.0,1.0,111.0,1.0,57.0,1.7543859649122806,100.0,1.3177365160799105e-08,0.008928571428571428,0.017241379310344827
CA,US,2.0,35.0,297.0,15.0,136.0,1.4705882352941175,13.333333333333334,5.467038357848194e-09,0.006024096385542169,0.013245033112582781
US,ZA,1.0,297.0,10.0,161.0,5.0,20.0,0.6211180124223602,2.5853301598336677e-09,0.003257328990228013,0.006024096385542169
US,AU,3.0,297.0,34.0,161.0,19.0,15.789473684210526,1.8633540372670807,8.484071001154032e-09,0.00906344410876133,0.016666666666666666
US,KR,1.0,297.0,1.0,161.0,1.0,100.0,0.6211180124223602,2.6319348057325886e-09,0.003355704697986577,0.006172839506172839
US,JP,1.0,297.0,5.0,161.0,4.0,25.0,0.6211180124223602,2.200198460541379e-09,0.0033112582781456954,0.006060606060606061
US,IN,4.0,297.0,24.0,161.0,14.0,28.57142857142857,2.484472049689441,2.3603592621872652e-09,0.012461059190031152,0.022857142857142857
SG,SG,1.0,2.0,2.0,1.0,1.0,100.0,100.0,8.766440802241544e-08,0.25,0.5
NL,JP,1.0,4.0,5.0,2.0,4.0,25.0,50.0,6.963895911455624e-09,0.1111111111111111,0.16666666666666666
US,LB,1.0,297.0,1.0,161.0,1.0,100.0,0.6211180124223602,2.9842262514290118e-09,0.003355704697986577,0.006172839506172839
NL,NL,1.0,4.0,4.0,2.0,2.0,50.0,50.0,2.8846958232489176e-08,0.125,0.25
NG,GH,1.0,10.0,1.0,5.0,1.0,100.0,20.0,4.321867541199445e-09,0.09090909090909091,0.16666666666666666
US,NL,1.0,297.0,4.0,161.0,2.0,50.0,0.6211180124223602,2.8937498426704384e-09,0.0033222591362126247,0.006134969325153374
