Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,136.0,542.0,542.0,273.0,269.0,50.55762081784386,49.81684981684982,7.93018452139937e-06,0.12546125461254612,0.25092250922509224
US,US,108822.0,234402.0,234402.0,118405.0,115997.0,93.81449520246214,91.90659178244161,0.00016576614388999096,0.23212685898584484,0.4642537179716897
GB,GB,11283.0,30165.0,30165.0,15048.0,15117.0,74.63782496527088,74.98006379585327,8.44101178128241e-05,0.1870213823968175,0.374042764793635
PL,PL,65.0,231.0,231.0,104.0,127.0,51.181102362204726,62.5,8.559191974353816e-07,0.1406926406926407,0.2813852813852814
ZA,ZA,1909.0,4644.0,4644.0,2297.0,2347.0,81.33787814230932,83.10840226382238,1.6300003398324438e-05,0.2055340223944875,0.411068044788975
IN,IN,2134.0,5033.0,5033.0,2526.0,2507.0,85.12165935380933,84.48139350752177,7.808739288380177e-07,0.2120007947546195,0.424001589509239
JP,JP,162.0,525.0,525.0,248.0,277.0,58.48375451263538,65.32258064516128,6.415082902155944e-07,0.15428571428571428,0.30857142857142855
AU,AU,3372.0,9019.0,9019.0,4274.0,4745.0,71.06427818756586,78.89564810481984,6.64713607196128e-05,0.18693868499833685,0.3738773699966737
NO,NO,65.0,315.0,315.0,155.0,160.0,40.625,41.935483870967744,6.077156324655528e-06,0.10317460317460317,0.20634920634920634
TR,TR,61.0,243.0,243.0,95.0,148.0,41.21621621621622,64.21052631578948,3.6557761893063993e-07,0.12551440329218108,0.25102880658436216
CN,CN,71.0,351.0,351.0,210.0,141.0,50.35460992907801,33.80952380952381,2.539859699581102e-08,0.10113960113960115,0.2022792022792023
FJ,FJ,21.0,48.0,48.0,26.0,22.0,95.45454545454545,80.76923076923077,1.179837586928748e-05,0.21875,0.4375
IL,IL,178.0,554.0,554.0,293.0,261.0,68.19923371647509,60.75085324232082,9.830669479637259e-06,0.16064981949458484,0.3212996389891697
CA,CA,5563.0,15453.0,15453.0,7282.0,8171.0,68.08224207563333,76.3938478439989,7.399719632697231e-05,0.17999741150585646,0.3599948230117129
US,RU,20.0,234402.0,115.0,118405.0,59.0,33.89830508474576,0.016891178581985557,4.2317916658155474e-08,8.528166401582828e-05,0.000168827660723933
US,DK,55.0,234402.0,201.0,118405.0,118.0,46.61016949152542,0.04645074110046029,1.6464203068690367e-07,0.00023443860479192507,0.00046404495330020336
DE,US,171.0,1417.0,234402.0,678.0,115997.0,0.14741760562773173,25.221238938053098,4.1568183092298565e-07,0.0007251324108744419,0.0014656095993143346
US,CA,2264.0,234402.0,15453.0,118405.0,8171.0,27.70774690980296,1.9120814154807653,6.188687421084156e-06,0.00906125552820636,0.01788648716976362
IN,RU,2.0,5033.0,115.0,2526.0,59.0,3.389830508474576,0.0791765637371338,1.3238095920739718e-09,0.0003885003885003885,0.0007736943907156673
FR,US,104.0,672.0,234402.0,322.0,115997.0,0.08965749114201228,32.298136645962735,2.630917157199906e-07,0.00044241387818304024,0.0008940929684746258
BE,BE,71.0,273.0,273.0,146.0,127.0,55.90551181102362,48.63013698630137,3.0912425968005203e-06,0.13003663003663005,0.2600732600732601
US,GB,2984.0,234402.0,30165.0,118405.0,15117.0,19.739366276377588,2.520163844432245,7.5530167609541675e-06,0.011278806502700639,0.022348377046479233
DO,DO,7.0,22.0,22.0,10.0,12.0,58.333333333333336,70.0,3.259161643056989e-07,0.1590909090909091,0.3181818181818182
CA,US,1400.0,15453.0,234402.0,7282.0,115997.0,1.2069277653732424,19.225487503433122,3.826926850493736e-06,0.0056032498849332615,0.01135635428580699
HK,HK,275.0,782.0,782.0,387.0,395.0,69.62025316455697,71.0594315245478,1.8315262274555772e-05,0.1758312020460358,0.3516624040920716
NG,NG,998.0,2468.0,2468.0,1213.0,1255.0,79.52191235059762,82.27535037098104,2.483036741395142e-06,0.20218800648298219,0.40437601296596437
NL,NL,220.0,773.0,773.0,318.0,455.0,48.35164835164835,69.18238993710692,6.346330811147618e-06,0.1423027166882277,0.2846054333764554
DK,DK,49.0,201.0,201.0,83.0,118.0,41.52542372881356,59.036144578313255,4.210668872484276e-06,0.12189054726368159,0.24378109452736318
DE,DE,386.0,1417.0,1417.0,678.0,739.0,52.232746955345064,56.932153392330385,2.3215866940796738e-06,0.13620324629498942,0.27240649258997884
ID,ID,44.0,146.0,146.0,53.0,93.0,47.31182795698925,83.01886792452831,8.129313191871065e-08,0.1506849315068493,0.3013698630136986
BE,CA,5.0,273.0,15453.0,146.0,8171.0,0.06119202056051891,3.4246575342465753,1.0188836430192807e-07,0.00031794480478188986,0.0006011783094865938
ZA,US,291.0,4644.0,234402.0,2297.0,115997.0,0.25086855694543825,12.668698302133215,7.523310765115974e-07,0.001217338922215808,0.0024599726106142323
GB,US,2673.0,30165.0,234402.0,15048.0,115997.0,2.3043699406019122,17.763157894736842,6.7658223197153115e-06,0.010103300865187268,0.020397573352665115
SE,SE,101.0,400.0,400.0,169.0,231.0,43.722943722943725,59.76331360946746,4.909846945973113e-06,0.12625,0.2525
PH,PH,149.0,348.0,348.0,170.0,178.0,83.70786516853933,87.6470588235294,6.890707778818269e-07,0.21408045977011494,0.4281609195402299
US,IN,266.0,234402.0,5033.0,118405.0,2507.0,10.610291184682888,0.2246526751404079,1.5696389093545313e-07,0.001110948691711738,0.002199947068942702
US,NL,163.0,234402.0,773.0,118405.0,455.0,35.824175824175825,0.13766310544318228,4.7168122435528145e-07,0.0006931008823216753,0.0013713612653541982
BS,BS,29.0,74.0,74.0,32.0,42.0,69.04761904761905,90.625,3.722893484166149e-05,0.19594594594594594,0.3918918918918919
KE,KE,414.0,993.0,993.0,505.0,488.0,84.8360655737705,81.98019801980197,3.9373094363631225e-06,0.2084592145015106,0.4169184290030212
DE,GB,43.0,1417.0,30165.0,678.0,15117.0,0.2844479724813124,6.342182890855458,2.8672935717331906e-07,0.0013615350516116775,0.002722380500158278
US,ZA,310.0,234402.0,4644.0,118405.0,2347.0,13.208351086493394,0.26181326802077615,8.01452349548437e-07,0.0012968215322573897,0.002567245263018418
FI,FI,74.0,179.0,179.0,82.0,97.0,76.28865979381443,90.2439024390244,6.702517284342883e-06,0.20670391061452514,0.4134078212290503
CN,US,68.0,351.0,234402.0,210.0,115997.0,0.058622205746700344,32.38095238095238,3.939848883260524e-08,0.0002896661597508871,0.0005851626838314387
NZ,NZ,248.0,705.0,705.0,306.0,399.0,62.15538847117794,81.04575163398692,2.5218629245474883e-05,0.17588652482269504,0.3517730496453901
GB,AU,179.0,30165.0,9019.0,15048.0,4745.0,3.772391991570074,1.1895268474215843,1.9414587917453772e-06,0.004568191098407513,0.009043601273177385
MX,MX,176.0,855.0,855.0,411.0,444.0,39.63963963963964,42.82238442822384,6.897874591607611e-07,0.10292397660818714,0.20584795321637428
FR,FR,185.0,672.0,672.0,322.0,350.0,52.85714285714286,57.453416149068325,1.3793640898917708e-06,0.13764880952380953,0.27529761904761907
CO,CO,37.0,161.0,161.0,70.0,91.0,40.65934065934066,52.85714285714286,3.675050596010766e-07,0.11490683229813664,0.22981366459627328
AT,AT,34.0,125.0,125.0,61.0,64.0,53.125,55.73770491803278,1.91504694061676e-06,0.136,0.272
US,IL,54.0,234402.0,554.0,118405.0,261.0,20.689655172413794,0.04560618217136101,1.6009827757289694e-07,0.00022983026609237474,0.0004550587362850353
ZW,ZW,59.0,163.0,163.0,84.0,79.0,74.68354430379746,70.23809523809523,2.0142749961967758e-06,0.18098159509202455,0.3619631901840491
UA,UA,26.0,66.0,66.0,28.0,38.0,68.42105263157895,92.85714285714286,2.928907198814559e-07,0.19696969696969696,0.3939393939393939
BG,BG,1.0,4.0,4.0,1.0,3.0,33.33333333333333,100.0,7.167676759567881e-08,0.125,0.25
IQ,IQ,27.0,87.0,87.0,38.0,49.0,55.10204081632652,71.05263157894737,3.434259609115624e-07,0.15517241379310345,0.3103448275862069
ZA,GB,37.0,4644.0,30165.0,2297.0,15117.0,0.2447575577164781,1.610796691336526,2.9507305749717836e-07,0.001062943491625729,0.0021247272309635923
TW,TW,14.0,63.0,63.0,26.0,37.0,37.83783783783784,53.84615384615385,2.929557451844144e-07,0.1111111111111111,0.2222222222222222
AR,US,5.0,26.0,234402.0,12.0,115997.0,0.0043104563049044375,41.66666666666667,1.3398423410197007e-08,2.132851024621632e-05,4.310010430225241e-05
NA,NA,7.0,24.0,24.0,11.0,13.0,53.84615384615385,63.63636363636363,1.4030699169783486e-06,0.14583333333333334,0.2916666666666667
MA,MA,6.0,16.0,16.0,7.0,9.0,66.66666666666666,85.71428571428571,8.22554014311727e-08,0.1875,0.375
ES,ES,83.0,353.0,353.0,149.0,204.0,40.68627450980392,55.70469798657718,8.81538608172891e-07,0.11756373937677053,0.23512747875354106
BM,BM,23.0,78.0,78.0,39.0,39.0,58.97435897435898,58.97435897435898,0.00017991801996307768,0.14743589743589744,0.2948717948717949
US,AU,994.0,234402.0,9019.0,118405.0,4745.0,20.94836670179136,0.8394915755246822,2.811055525049036e-06,0.004083460342369804,0.008071457572066586
KP,KP,1.0,6.0,6.0,3.0,3.0,33.33333333333333,33.33333333333333,1.9480903279613963e-08,0.08333333333333333,0.16666666666666666
PK,PK,77.0,224.0,224.0,108.0,116.0,66.37931034482759,71.29629629629629,1.7777546449057923e-07,0.171875,0.34375
AU,US,619.0,9019.0,234402.0,4274.0,115997.0,0.5336344905471693,14.482919981282173,1.7505466499047819e-06,0.0025429194687393445,0.005146710345802396
IN,CA,9.0,5033.0,15453.0,2526.0,8171.0,0.11014563700893402,0.35629453681710216,6.410224377397271e-09,0.0004393244166748023,0.0008413573899224082
EE,EE,3.0,13.0,13.0,7.0,6.0,50.0,42.857142857142854,1.130718609366873e-06,0.11538461538461539,0.23076923076923078
AU,GB,112.0,9019.0,30165.0,4274.0,15117.0,0.7408877422769068,2.6204960224613947,1.214767512153532e-06,0.0028583095140873828,0.005775875406116239
TH,TH,9.0,40.0,40.0,22.0,18.0,50.0,40.909090909090914,6.463141665372362e-08,0.1125,0.225
IT,IT,95.0,451.0,451.0,212.0,239.0,39.74895397489539,44.81132075471698,7.877620453128689e-07,0.10532150776053215,0.2106430155210643
AE,US,9.0,50.0,234402.0,21.0,115997.0,0.007758821348827987,42.857142857142854,2.662642707442322e-08,3.838738846331019e-05,7.757416952541847e-05
IN,US,273.0,5033.0,234402.0,2526.0,115997.0,0.23535091424778226,10.807600950118765,1.6109451964428084e-07,0.001140184183598889,0.0023033504045628273
HR,HR,9.0,36.0,36.0,12.0,24.0,37.5,75.0,1.1063306699446834e-06,0.125,0.25
CA,GB,138.0,15453.0,30165.0,7282.0,15117.0,0.9128795395911887,1.8950837681955508,1.32153949353263e-06,0.0030251216625016442,0.006160989329880798
BD,BD,8.0,28.0,28.0,10.0,18.0,44.44444444444444,80.0,2.4532929665237564e-08,0.14285714285714285,0.2857142857142857
CG,CG,7.0,23.0,23.0,16.0,7.0,100.0,43.75,6.50496198500216e-07,0.15217391304347827,0.30434782608695654
US,MX,139.0,234402.0,855.0,118405.0,444.0,31.306306306306308,0.11739369114479963,3.049482446665671e-07,0.0005908432055156701,0.0011695512793544751
US,ID,36.0,234402.0,146.0,118405.0,93.0,38.70967741935484,0.030404121447574,6.011370597656025e-08,0.0001534867063458226,0.0003038025958244021
AE,AE,9.0,50.0,50.0,21.0,29.0,31.03448275862069,42.857142857142854,4.6056871639191696e-07,0.09,0.18
HK,US,75.0,782.0,234402.0,387.0,115997.0,0.06465684457356655,19.379844961240313,2.2338253863908085e-07,0.0003188992448465882,0.0006444184767665658
KH,KH,2.0,12.0,12.0,3.0,9.0,22.22222222222222,66.66666666666666,6.065553346481027e-08,0.08333333333333333,0.16666666666666666
US,HK,72.0,234402.0,782.0,118405.0,395.0,18.227848101265824,0.060808242895148,2.144472370935176e-07,0.00030614327505272467,0.0006060606060606061
JP,GB,11.0,525.0,30165.0,248.0,15117.0,0.0727657604021962,4.435483870967742,5.6965498835273054e-08,0.00035842293906810036,0.0007159127888057273
GL,GL,5.0,12.0,12.0,7.0,5.0,100.0,71.42857142857143,4.44642063139173e-05,0.20833333333333334,0.4166666666666667
PT,PT,19.0,116.0,116.0,43.0,73.0,26.027397260273972,44.18604651162791,9.250768568459144e-07,0.08189655172413793,0.16379310344827586
US,PL,47.0,234402.0,231.0,118405.0,127.0,37.00787401574803,0.03969426966766606,1.2834152275583808e-07,0.00020031282897120184,0.0003965173961461884
VN,VN,7.0,35.0,35.0,18.0,17.0,41.17647058823529,38.88888888888889,3.6283678069396495e-08,0.1,0.2
PA,PA,26.0,95.0,95.0,39.0,56.0,46.42857142857143,66.66666666666666,3.0613886129060138e-06,0.1368421052631579,0.2736842105263158
US,SE,97.0,234402.0,400.0,118405.0,231.0,41.99134199134199,0.08192221612262995,2.865372036833111e-07,0.0004131140279895401,0.0008176270272092788
GB,ZA,55.0,30165.0,4644.0,15048.0,2347.0,2.343417128248828,0.36549707602339176,4.386221124958057e-07,0.001580051136200408,0.0031618281115263006
QA,QA,5.0,12.0,12.0,6.0,6.0,83.33333333333334,83.33333333333334,8.827474773725339e-07,0.20833333333333334,0.4166666666666667
US,DE,238.0,234402.0,1417.0,118405.0,739.0,32.205683355886336,0.20100502512562815,5.785513202319917e-07,0.00100924861864396,0.0019975827569999327
IE,IE,141.0,489.0,489.0,231.0,258.0,54.65116279069767,61.038961038961034,1.4267084682129353e-05,0.1441717791411043,0.2883435582822086
US,CO,43.0,234402.0,161.0,118405.0,91.0,47.25274725274725,0.03631603395126895,1.1358264420850048e-07,0.00018331961988889977,0.00036288144747502026
GB,SE,16.0,30165.0,400.0,15048.0,231.0,6.926406926406926,0.10632642211589581,2.0746926167836045e-07,0.0005234745624079829,0.0010471889521565547
MX,GB,119.0,855.0,30165.0,411.0,15117.0,0.7871932261692135,28.953771289537713,6.121086384402559e-07,0.003836234687298517,0.007663575476558475
GB,CA,177.0,30165.0,15453.0,15048.0,8171.0,2.1661975278423693,1.1762360446570972,1.695018046052721e-06,0.0038800473497303694,0.007623067315560532
NP,NP,27.0,65.0,65.0,28.0,37.0,72.97297297297297,96.42857142857143,4.7188426182096293e-07,0.2076923076923077,0.4153846153846154
