i,j,count
'CA','CA',47.0
'US','RU',19579.0
'US','US',126208.0
'US','US',2.0
'US','US',37724.0
'US','US',9436.0
'GB','MY',4777.0
'IN','IN',2784768.0
'KR','US',30442.0
'US','US',7118.0
'BE','US',25.0
'ES','ES',3142.0
'AU','AU',2356.0
'IN','IN',51624.0
'US','US',2559.0
'MX','MX',1071.0
'IN','IN',208958.0
'US','US',58564.0
'US','US',1804.0
'BE','BE',42699.0
'US','US',100.0
'GB','MX',264.0
'US','DE',140.0
'IT','IT',84.0
'US','IT',597.0
'AR','AR',2979.0
'US','US',56411.0
'US','US',36.0
'US','PA',63.0
'IN','IN',66512.0
'US','US',30.0
'US','US',329107.0
'US','US',45.0
'US','US',32386.0
'US','US',196077.0
'DE','DE',21881.0
'US','US',25602.0
'US','US',2080.0
'GB','GB',798.0
'US','HK',3377.0
'GB','GB',202106.0
'US','US',30025.0
'US','US',721248.0
'US','US',136.0
'US','US',7.0
'US','US',163.0
'US','TH',3789.0
'US','CA',2282.0
'US','US',4957.0
'PH','MY',253.0
'CU','IN',4609.0
'US','US',469.0
'US','GB',131.0
'US','US',7224.0
'PH','PH',6461.0
'GB','GB',605.0
'US','US',109614.0
'US','US',21540.0
'US','US',87770.0
'US','US',18.0
'US','MY',1775.0
'JP','JP',201.0
'IT','IT',6718.0
'US','US',161558.0
'US','US',19.0
'US','US',559.0
'US','US',49091.0
'VE','VE',34637.0
'US','US',13397.0
'IN','US',75018.0
'US','US',32.0
'US','US',15941.0
'US','US',20212.0
'IN','IN',3539.0
'US','US',546.0
'US','US',2962.0
'US','US',206.0
'US','US',1499.0
'GB','US',3891.0
'TR','TR',154451.0
'US','US',3.0
'GR','GR',1263.0
'US','US',593.0
'US','US',6182.0
'GB','GB',796.0
'GB','GB',631951.0
'AG','AG',2081.0
'US','CO',117.0
'US','US',1.0
'ZA','ZA',1364.0
'US','US',23333.0
'IN','IN',1243.0
'US','US',22.0
'IN','US',140658.0
'IN','IN',222.0
'GB','GB',14610.0
'US','US',665.0
'US','US',12566.0
'US','US',1.0
'US','CA',107.0
'US','US',9772.0
'DE','DE',372.0
'US','US',578.0
'US','US',24144.0
'US','US',5479.0
'US','US',39.0
'DE','DE',4128.0
'US','US',292.0
'MC','MC',5873.0
'US','US',1854.0
'US','US',1331.0
'US','IT',155.0
'US','US',1357.0
'GB','GB',2655.0
'US','US',11482.0
'IT','IT',1183.0
'LB','GB',2.0
'US','US',1583.0
'AU','PL',8.0
'US','US',117406.0
'GB','GB',300082.0
'US','US',58331.0
'US','US',730.0
'US','US',133754.0
'GB','GB',615.0
'MX','CO',101.0
'US','US',9.0
'US','US',4168.0
'US','US',2.0
'TH','TH',16155.0
'ZA','ZA',371435.0
