i,j,count
'CA','CA',161904
'US','RU',19579
'US','US',<NA>
'GB','MY',4777
'IN','IN',3310821
'KR','US',30442
'BE','US',25
'ES','ES',6339
'AU','AU',69152
'MX','MX',16836
'BE','BE',42699
'GB','MX',264
'US','DE',315
'IT','IT',9625
'US','IT',2025
'AR','AR',11706
'US','PA',63
'DE','DE',68377
'GB','GB',1550918
'US','HK',3377
'US','TH',3789
'US','CA',5112
'PH','MY',253
'CU','IN',4609
'US','GB',17711
'PH','PH',6461
'US','MY',2028
'JP','JP',736
'VE','VE',42261
'IN','US',215676
'GB','US',90357
'TR','TR',156252
'GR','GR',1263
'AG','AG',2081
'US','CO',117
'ZA','ZA',449632
'MC','MC',5873
'LB','GB',2
'AU','PL',8
'MX','CO',101
'TH','TH',47227
'PA','PA',47971
'US','ZA',3398
'KE','KE',158278
'DE','TR',1021
'CO','CO',1318832
'US','AT',211
'IN','SA',3634
'SA','SA',25247
'RU','CA',253
'CU','CU',447865
'ZA','DE',140
'US','IN',75611
'NL','NL',118
'GB','FR',579
'US','KE',11282
'US','TR',5522
'PK','PK',17588
'US','AU',24391
'TH','US',530
'US','NG',2066
'HK','US',10908
'NG','US',61
'GB','CO',3113
'BE','GB',79
'MY','MY',46513
'US','JP',6810
'GB','IT',87
'NL','US',6
'NZ','GB',115
'GB','IN',20959
'EG','IT',7
'SE','US',5
'IQ','IQ',9115
'US','SA',101
'SE','SE',1536
'AU','US',12
'IN','PK',1414
'JP','US',633
'CO','ES',85
'HK','HK',249610
'GB','JP',1764
'US','CM',328
'CL','CL',1011
'AU','FR',1
'US','SG',837
'US','ZW',2404
'CO','US',2430
'DE','US',12
'ID','ID',9194
'ID','US',25
'FR','NG',110
'NZ','NZ',75
'US','NO',4
'IN','GB',31364
'PG','PG',3062
'NG','NG',276603
'US','IL',1088
'ZA','ZW',2
'US','MX',898
'MX','US',115
