i,j,count
'US','US',35310671
'IN','IN',5133941
'GB','GB',3785031
'CA','CA',1541103
'CO','CO',1431878
'US','GB',1255913
'GB','US',1117117
'US','CA',932084
'DE','DE',831718
'AU','AU',830736
'ZA','ZA',777603
'CU','CU',611831
'JP','JP',560313
'IN','US',509657
'NG','NG',493882
'US','IN',431829
'CA','US',410838
'MX','MX',381527
'ID','ID',354750
'IT','IT',336582
'KE','KE',307276
'US','AU',284948
'TR','TR',251923
'HK','HK',251515
'MY','MY',220897
'ES','ES',203364
'US','IT',191321
'US','JP',176300
'TH','TH',175278
'AU','US',173699
'NL','NL',173346
'US','DE',156198
'US','HK',155670
'US','ZA',148087
'US','NL',144438
'US','MX',139541
'US','NG',135439
'BR','BR',133299
'PK','PK',119170
'CH','CH',117723
'DE','US',117343
'VE','VE',100506
'SA','SA',100262
'ZA','US',98465
'HK','US',96064
'NG','US',95513
'IT','US',93945
'FR','FR',93884
'US','CO',92821
'US','ES',84417
'PL','PL',81522
'NL','US',76923
'US','MY',75696
'FR','US',72106
'PH','PH',65867
'GB','CA',64860
'KR','US',64503
'US','ID',63338
'BE','BE',62857
'US','FR',61553
'US','KE',61462
'MX','US',61018
'CO','US',59993
'US','BR',58107
'GB','IN',57978
'IN','GB',56157
'GB','NG',54285
'US','PR',52821
'GB','MX',52770
'ID','US',52659
'PA','PA',51342
'US','PH',49688
'AT','AT',49200
'SE','SE',47977
'US','SE',47438
'AR','AR',47085
'GB','AU',46312
'MX','GB',44817
'IL','US',44741
'US','CH',43513
'JP','US',42291
'CL','CL',40888
'CA','GB',40843
'KE','US',39212
'CN','US',37395
'CH','US',36874
'AU','GB',35576
'MY','US',35401
'US','TR',34942
'GR','GR',34601
'US','VE',33473
'GB','ZA',33117
'US','NZ',32837
'US','TH',31908
'US','RU',31451
'DK','DK',30998
'BR','US',30622
'TW','TW',30317
'IL','IL',29758
'GB','MY',29532
'GB','HK',29404
'US','IE',29145
'US','NO',28840
'PR','PR',28449
'US','BE',28346
'US','GR',27622
'IE','IE',27542
'GB','DE',27051
'GB','ES',26787
'NZ','NZ',26675
'LB','LB',25951
'PH','US',25721
'PT','PT',24777
'US','PK',24369
'US','KR',24175
'US','PL',23836
'AU','CA',23361
'DE','GB',23340
'GB','FR',23327
'US','PT',22154
'CA','IN',22095
