Country Code,Country Name,Connections,Latitude,Longitude,Population
GB,United Kingdom,1014896,54.7023545,-3.2765753,66834405
DE,Germany,95779,51.1638175,10.4478313,83132799
IT,Italy,39247,42.6384261,12.674297,60297396
ES,Spain,19110,39.3260685,-4.8379791,47076781
NL,Netherlands,17978,52.24764975,5.541246849406163,17332850
BE,Belgium,12730,50.6402809,4.6667145,11484055
SE,Sweden,9607,59.6749712,14.5208584,10285453
FR,France,8267,46.603354,1.8883335,67059887
DK,Denmark,7753,55.670249,10.3333283,5818553
PL,Poland,7700,52.215933,19.134422,37970874
SI,Slovenia,5969,46.1199444,14.8153333,2087946
CH,Switzerland,5024,46.7985624,8.2319736,8574832
PT,Portugal,4702,39.6621648,-8.1353519,10269417
RU,Russian Federation,2766,54.7023545,-3.2765753,144373535
IE,Ireland,2144,52.865196,-7.9794599,4941444
GR,Greece,1315,38.9953683,21.9877132,10716322
MC,Monaco,866,43.7323492,7.4276832,38964
NO,Norway,847,61.1529386,8.7876653,5347896
CZ,Czechia,734,49.7439047,15.3381061,10669709
RS,Serbia,644,44.1534121,20.55144,6944975
FI,Finland,536,63.2467777,25.9209164,5520314
AT,Austria,355,47.59397,14.12456,8877067
JE,Jersey,223,49.2214561,-2.1358386,
RO,Romania,182,45.9852129,24.6859225,19356544
HR,Croatia,115,45.3658443,15.6575209,4067500
LU,Luxembourg,29,51.0012996,22.7748497,619896
LI,Liechtenstein,23,47.1416307,9.5531527,38019
MK,North Macedonia,12,41.6171214,21.7168387,2083459
IS,Iceland,12,64.9841821,-18.1059013,361313
BY,Belarus,11,53.4250605,27.6971358,9466856
BG,Bulgaria,10,42.6073975,25.4856617,6975761
HU,Hungary,6,47.1817585,19.5060937,9769949
LT,Lithuania,5,55.3500003,23.7499997,2786844
BA,Bosnia and Herzegovina,5,44.3053476,17.5961467,3301000
LV,Latvia,5,56.8406494,24.7537645,1912789
SK,Slovakia,3,48.7411522,19.4528646,5454073
EE,Estonia,2,58.7523778,25.3319078,1326590
ME,Montenegro,1,23.6585116,-102.0077097,622137
