Country Code,Country Name,Connections,Latitude,Longitude,Population
ES,Spain,203364.0,39.3260685,-4.8379791,47076781
BE,Belgium,62857.0,50.6402809,4.6667145,11484055
IT,Italy,336582.0,42.6384261,12.674297,60297396
DE,Germany,831718.0,51.1638175,10.4478313,83132799
GB,United Kingdom,3785031.0,54.7023545,-3.2765753,66834405
GR,Greece,34601.0,38.9953683,21.9877132,10716322
MC,Monaco,6035.0,43.7323492,7.4276832,38964
NL,Netherlands,173346.0,52.24764975,5.541246849406163,17332850
SE,Sweden,47977.0,59.6749712,14.5208584,10285453
CH,Switzerland,117723.0,46.7985624,8.2319736,8574832
PL,Poland,81522.0,52.215933,19.134422,37970874
IE,Ireland,27542.0,52.865196,-7.9794599,4941444
FR,France,93884.0,46.603354,1.8883335,67059887
RU,Russian Federation,10925.0,54.7023545,-3.2765753,144373535
DK,Denmark,30998.0,55.670249,10.3333283,5818553
NO,Norway,10187.0,61.1529386,8.7876653,5347896
AT,Austria,49200.0,47.59397,14.12456,8877067
PT,Portugal,24777.0,39.6621648,-8.1353519,10269417
RS,Serbia,15970.0,44.1534121,20.55144,6944975
CZ,Czechia,3583.0,49.7439047,15.3381061,10669709
FI,Finland,6454.0,63.2467777,25.9209164,5520314
HR,Croatia,3701.0,45.3658443,15.6575209,4067500
SI,Slovenia,14648.0,46.1199444,14.8153333,2087946
RO,Romania,5333.0,45.9852129,24.6859225,19356544
AX,Åland Islands,54.0,42.7193597,1.8379765,
SK,Slovakia,971.0,48.7411522,19.4528646,5454073
BG,Bulgaria,820.0,42.6073975,25.4856617,6975761
JE,Jersey,449.0,49.2214561,-2.1358386,
EE,Estonia,345.0,58.7523778,25.3319078,1326590
UA,Ukraine,878.0,49.4871968,31.2718321,44385155
HU,Hungary,1289.0,47.1817585,19.5060937,9769949
LU,Luxembourg,125.0,51.0012996,22.7748497,619896
MK,North Macedonia,128.0,41.6171214,21.7168387,2083459
GG,Guernsey,235.0,49.4566233,-2.5822348,
IS,Iceland,77.0,64.9841821,-18.1059013,361313
LT,Lithuania,79.0,55.3500003,23.7499997,2786844
BY,Belarus,30.0,53.4250605,27.6971358,9466856
BA,Bosnia and Herzegovina,16.0,44.3053476,17.5961467,3301000
LV,Latvia,142.0,56.8406494,24.7537645,1912789
LI,Liechtenstein,118.0,47.1416307,9.5531527,38019
AL,Albania,38.0,33.2588817,-86.8295337,2854191
GI,Gibraltar,20.0,36.1285933,-5.3474761,33701
MD,"Moldova, Republic of",6.0,39.5162401,-76.9382069,2657637
IM,Isle of Man,6.0,43.95837525,7.866742714674276,84584
MT,Malta,10.0,35.8885993,14.4476911,502653
ME,Montenegro,1.0,23.6585116,-102.0077097,622137
