Country Code,Country Name,Connections,Latitude,Longitude,Population
CH,Switzerland,111.0,46.7985624,8.2319736,8574832
GB,United Kingdom,5043.0,54.7023545,-3.2765753,66834405
US,United States,26779.0,39.7837304,-100.445882,328239523
PL,Poland,11.0,52.215933,19.134422,37970874
IE,Ireland,63.0,52.865196,-7.9794599,4941444
CA,Canada,1869.0,61.0666922,-107.991707,37589262
AU,Australia,817.0,-24.7761086,134.755,25364307
NO,Norway,21.0,61.1529386,8.7876653,5347896
IN,India,384.0,22.3511148,78.6677428,1366417754
JP,Japan,26.0,36.5748441,139.2394179,126264931
FI,Finland,88.0,63.2467777,25.9209164,5520314
HK,Hong Kong,11.0,22.350627,114.1849161,7507400
MX,Mexico,80.0,23.6585116,-102.0077097,127575529
DE,Germany,43.0,51.1638175,10.4478313,83132799
ZA,South Africa,1128.0,-28.8166236,24.991639,58558270
UA,Ukraine,4.0,49.4871968,31.2718321,44385155
BG,Bulgaria,6.0,42.6073975,25.4856617,6975761
NL,Netherlands,201.0,52.24764975,5.541246849406163,17332850
FR,France,41.0,46.603354,1.8883335,67059887
KE,Kenya,243.0,1.4419683,38.4313975,52573973
PA,Panama,21.0,8.559559,-81.1308434,4246439
NG,Nigeria,390.0,9.6000359,7.9999721,200963599
CO,Colombia,12.0,4.099917,-72.9088133,50339443
NP,Nepal,4.0,28.1083929,84.0917139,28608710
IL,Israel,22.0,40.0796606,-89.4337288,9053300
CZ,Czechia,1.0,49.7439047,15.3381061,10669709
GR,Greece,27.0,38.9953683,21.9877132,10716322
IT,Italy,19.0,42.6384261,12.674297,60297396
TR,Turkey,6.0,38.9597594,34.9249653,83429615
HR,Croatia,6.0,45.3658443,15.6575209,4067500
PT,Portugal,14.0,39.6621648,-8.1353519,10269417
AT,Austria,4.0,47.59397,14.12456,8877067
PR,Puerto Rico,13.0,50.0874654,14.4212535,3193694
ES,Spain,18.0,39.3260685,-4.8379791,47076781
PK,Pakistan,14.0,30.3308401,71.247499,216565318
SE,Sweden,17.0,59.6749712,14.5208584,10285453
NZ,New Zealand,20.0,-41.5000831,172.8344077,4917000
SD,Sudan,2.0,14.5844444,29.4917691,42813238
BE,Belgium,21.0,50.6402809,4.6667145,11484055
VI,"Virgin Islands, U.S.",2.0,17.789187,-64.7080574,106631
CL,Chile,2.0,-31.7613365,-71.3187697,18952038
TW,"Taiwan",9.0,23.9739374,120.9820179,
VN,Viet Nam,3.0,15.9266657,107.9650855,96462106
SL,Sierra Leone,1.0,8.6400349,-11.8400269,7813215
UG,Uganda,9.0,1.5333554,32.2166578,44269594
TJ,Tajikistan,1.0,38.6281733,70.8156541,9321018
RO,Romania,10.0,45.9852129,24.6859225,19356544
EG,Egypt,16.0,26.2540493,29.2675469,100388073
ER,Eritrea,7.0,52.865196,-7.9794599,3497117
BR,Brazil,5.0,-10.3333333,-53.2,211049527
CN,China,3.0,35.000074,104.999927,1397715000
ID,Indonesia,3.0,-2.4833826,117.8902853,270625568
SI,Slovenia,2.0,46.1199444,14.8153333,2087946
PH,Philippines,19.0,12.7503486,122.7312101,108116615
LB,Lebanon,5.0,33.8750629,35.843409,6855713
DZ,Algeria,1.0,28.0000272,2.9999825,43053054
DM,Dominica,1.0,15.4113138,-61.3653618,71808
RS,Serbia,6.0,44.1534121,20.55144,6944975
IR,"Iran, Islamic Republic of",1.0,32.6475314,54.5643516,82913906
MP,Northern Mariana Islands,5.0,15.1753648,145.7379338,57216
DK,Denmark,11.0,55.670249,10.3333283,5818553
LR,Liberia,1.0,5.7499721,-9.3658524,4937374
LV,Latvia,1.0,56.8406494,24.7537645,1912789
TN,Tunisia,2.0,33.8439408,9.400138,11694719
CU,Cuba,3.0,23.0131338,-80.8328748,11333483
KR,"Korea, Republic of",3.0,36.638392,127.6961188,51709098
VG,"Virgin Islands, British",1.0,18.4024395,-64.5661642,30030
AF,Afghanistan,1.0,33.7680065,66.2385139,38041754
MC,Monaco,2.0,43.7323492,7.4276832,38964
SA,Saudi Arabia,4.0,25.6242618,42.3528328,34268528
GH,Ghana,2.0,8.0300284,-1.0800271,30417856
KW,Kuwait,2.0,29.2733964,47.4979476,4207083
AE,United Arab Emirates,2.0,24.0002488,53.9994829,9770529
RE,Réunion,1.0,44.6086674,10.594066675914796,
MV,Maldives,1.0,3.7203503,73.2244152,530953
LS,Lesotho,1.0,20.0171109,103.378253,2125268
GQ,Equatorial Guinea,1.0,1.613172,10.5170357,1355986
