Country Code,Country Name,Connections,Latitude,Longitude,Population
CH,Switzerland,5.0,42.10269285,14.41590530501923,8574832
US,United States,2285.0,50.5663266,13.820670539566608,328239523
CA,Canada,177.0,61.0666922,-107.991707,37589262
GB,United Kingdom,549.0,54.7023545,-3.2765753,66834405
ID,Indonesia,2.0,43.6447642,-114.015407,270625568
IN,India,52.0,40.3270127,-86.1746933,1366417754
JP,Japan,9.0,26.9207888,75.7866539,126264931
AU,Australia,109.0,47.7563917,7.0194428,25364307
FI,Finland,7.0,38.0452481,-100.8199963,5520314
DE,Germany,10.0,38.6920451,-75.4013315,83132799
ZA,South Africa,167.0,14.9661596,-89.5180314,58558270
UA,Ukraine,8.0,-8.8613303,121.2037997,44385155
NZ,New Zealand,9.0,55.7385724,37.5457233,4917000
CO,Colombia,3.0,45.939475900000005,9.149410145408947,50339443
NG,Nigeria,19.0,8.16698,48.9978971,200963599
PK,Pakistan,3.0,49.9927121,22.177107,216565318
ES,Spain,3.0,39.3260685,-4.8379791,47076781
NL,Netherlands,18.0,53.8217327,-61.2295532,17332850
MX,Mexico,9.0,23.6585116,-102.0077097,127575529
IL,Israel,6.0,40.0796606,-89.4337288,9053300
KE,Kenya,15.0,1.4419683,38.4313975,52573973
GR,Greece,3.0,38.9953683,21.9877132,10716322
IT,Italy,2.0,42.6384261,12.674297,60297396
HK,Hong Kong,1.0,22.350627,114.1849161,7507400
RW,Rwanda,1.0,-1.9646631,30.0644358,12626950
SE,Sweden,11.0,-10.6743911,-37.3773519,10285453
BE,Belgium,4.0,52.5170365,13.3888599,11484055
FR,France,17.0,46.603354,1.8883335,67059887
NO,Norway,5.0,61.1529386,8.7876653,5347896
EG,Egypt,2.0,56.1787643,10.4249793,100388073
RO,Romania,3.0,44.97720615,12.274190436964231,19356544
IE,Ireland,3.0,52.865196,-7.9794599,4941444
IR,"Iran, Islamic Republic of",2.0,32.6475314,54.5643516,82913906
ER,Eritrea,2.0,52.865196,-7.9794599,3497117
BR,Brazil,2.0,25.6440845,85.906508,211049527
PH,Philippines,5.0,12.7503486,122.7312101,108116615
DZ,Algeria,1.0,53.3832497,14.6317114,43053054
KW,Kuwait,1.0,-23.9028101,24.9214122,4207083
PR,Puerto Rico,1.0,50.0874654,14.4212535,3193694
CU,Cuba,2.0,23.0131338,-80.8328748,11333483
MY,Malaysia,1.0,39.7837304,-100.445882,31949777
SI,Slovenia,2.0,43.1672254,11.467181161339118,2087946
TN,Tunisia,1.0,35.7730076,-86.2820081,11694719
DK,Denmark,2.0,38.8790615,-97.1893341,5818553
SG,Singapore,1.0,10.7763897,106.7011391,5703569
MA,Morocco,1.0,31.1728205,-7.3362482,36471769
SA,Saudi Arabia,1.0,-30.5343665,135.6301212,34268528
UG,Uganda,1.0,1.5333554,32.2166578,44269594
