Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,3.0,19.0,19.0,11.0,8.0,37.5,27.27272727272727,1.749305409132214e-07,0.07894736842105263,0.15789473684210525
GB,GB,713.0,1838.0,1838.0,914.0,924.0,77.16450216450217,78.00875273522976,5.3340790570365665e-06,0.19396082698585418,0.38792165397170836
US,US,1760.0,4207.0,4207.0,2141.0,2066.0,85.18877057115198,82.20457730032695,2.680969043450627e-06,0.20917518421678155,0.4183503684335631
CN,CN,5.0,31.0,31.0,23.0,8.0,62.5,21.73913043478261,1.788633591254297e-09,0.08064516129032258,0.16129032258064516
IL,IL,2.0,13.0,13.0,6.0,7.0,28.57142857142857,33.33333333333333,1.1045696044536247e-07,0.07692307692307693,0.15384615384615385
CA,CA,97.0,289.0,289.0,133.0,156.0,62.17948717948718,72.93233082706767,1.290262096659413e-06,0.16782006920415224,0.3356401384083045
NG,NG,199.0,485.0,485.0,240.0,245.0,81.22448979591836,82.91666666666667,4.95114540618871e-07,0.20515463917525772,0.41030927835051545
GB,US,139.0,1838.0,4207.0,914.0,2066.0,6.727976766698935,15.207877461706785,3.5183288531254333e-07,0.022994210090984284,0.046644295302013423
AU,AU,164.0,426.0,426.0,203.0,223.0,73.54260089686099,80.78817733990148,3.2328894300167556e-06,0.19248826291079812,0.38497652582159625
IN,IN,78.0,187.0,187.0,91.0,96.0,81.25,85.71428571428571,2.8541783715728857e-08,0.20855614973262032,0.41711229946524064
FI,FI,3.0,7.0,7.0,3.0,4.0,75.0,100.0,2.7172367368957634e-07,0.21428571428571427,0.42857142857142855
DE,DE,20.0,73.0,73.0,35.0,38.0,52.63157894736842,57.14285714285714,1.2028946601449085e-07,0.136986301369863,0.273972602739726
US,GB,149.0,4207.0,1838.0,2141.0,924.0,16.125541125541126,6.959364782811771,3.771446036803522e-07,0.024648469809760133,0.04861337683523654
NZ,NZ,16.0,46.0,46.0,20.0,26.0,61.53846153846154,80.0,1.6270083384177344e-06,0.17391304347826086,0.34782608695652173
TW,TW,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0925410370315312e-08,0.25,0.5
PL,PL,12.0,29.0,29.0,16.0,13.0,92.3076923076923,75.0,1.580158518342243e-07,0.20689655172413793,0.41379310344827586
KE,KE,18.0,43.0,43.0,22.0,21.0,85.71428571428571,81.81818181818183,1.7118736679839662e-07,0.20930232558139536,0.4186046511627907
ZA,ZA,150.0,357.0,357.0,174.0,183.0,81.9672131147541,86.20689655172413,1.2807755420370171e-06,0.21008403361344538,0.42016806722689076
ES,ES,8.0,23.0,23.0,12.0,11.0,72.72727272727273,66.66666666666666,8.496757669136299e-08,0.17391304347826086,0.34782608695652173
AU,US,21.0,426.0,4207.0,203.0,2066.0,1.016456921587609,10.344827586206897,5.9388497008078224e-08,0.0045327001942585795,0.009255178492728075
HK,US,4.0,25.0,4207.0,11.0,2066.0,0.1936108422071636,36.36363636363637,1.1913735394084312e-08,0.000945179584120983,0.0019258545979778526
JP,GB,1.0,15.0,1838.0,7.0,924.0,0.10822510822510822,14.285714285714285,5.17868171229755e-09,0.0005396654074473826,0.0010741138560687433
NO,NO,9.0,30.0,30.0,16.0,14.0,64.28571428571429,56.25,8.414524141830731e-07,0.15,0.3
NL,NL,14.0,46.0,46.0,20.0,26.0,53.84615384615385,70.0,4.0385741525484845e-07,0.15217391304347827,0.30434782608695654
PT,GB,1.0,5.0,1838.0,3.0,924.0,0.10822510822510822,33.33333333333333,1.296952568706646e-08,0.0005425935973955507,0.0010787486515641855
RU,RU,3.0,9.0,9.0,4.0,5.0,60.0,75.0,1.038971581599079e-08,0.16666666666666666,0.3333333333333333
IE,IE,10.0,30.0,30.0,15.0,15.0,66.66666666666666,66.66666666666666,1.0118499774559825e-06,0.16666666666666666,0.3333333333333333
HK,HK,7.0,25.0,25.0,11.0,14.0,50.0,63.63636363636363,4.6620667607960146e-07,0.14,0.28
US,RU,1.0,4207.0,9.0,2141.0,5.0,20.0,0.046707146193367584,2.115895832907774e-09,0.00023719165085388995,0.00046598322460391424
PK,PK,4.0,9.0,9.0,4.0,5.0,80.0,100.0,9.235089064445675e-09,0.2222222222222222,0.4444444444444444
