Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
US,US,3423.0,7565.0,7565.0,3797.0,3768.0,90.843949044586,90.1501185146168,5.21418013393835e-06,0.22623925974884335,0.4524785194976867
GB,GB,503.0,1361.0,1361.0,687.0,674.0,74.62908011869436,73.21688500727802,3.763031929438139e-06,0.18479059515062454,0.3695811903012491
CA,CA,152.0,466.0,466.0,240.0,226.0,67.2566371681416,63.33333333333333,2.0218540071363996e-06,0.1630901287553648,0.3261802575107296
DE,DE,17.0,63.0,63.0,38.0,25.0,68.0,44.73684210526316,1.0224604611231724e-07,0.1349206349206349,0.2698412698412698
IN,IN,158.0,383.0,383.0,199.0,184.0,85.86956521739131,79.39698492462311,5.7815408039553325e-08,0.206266318537859,0.412532637075718
JP,JP,5.0,16.0,16.0,6.0,10.0,50.0,83.33333333333334,1.979963858690106e-08,0.15625,0.3125
US,ZA,36.0,7565.0,412.0,3797.0,221.0,16.289592760180994,0.9481169344219119,9.307188575401205e-08,0.0045129748025573525,0.008959681433549029
AU,AU,76.0,230.0,230.0,110.0,120.0,63.33333333333333,69.0909090909091,1.4981682724467891e-06,0.16521739130434782,0.33043478260869563
FI,FI,7.0,15.0,15.0,8.0,7.0,100.0,87.5,6.340219052756781e-07,0.23333333333333334,0.4666666666666667
MX,MX,5.0,37.0,37.0,18.0,19.0,26.31578947368421,27.77777777777778,1.9596234635248897e-08,0.06756756756756757,0.13513513513513514
NZ,NZ,5.0,15.0,15.0,7.0,8.0,62.5,71.42857142857143,5.08440105755542e-07,0.16666666666666666,0.3333333333333333
FR,FR,12.0,40.0,40.0,17.0,23.0,52.17391304347826,70.58823529411765,8.947226529027703e-08,0.15,0.3
NL,NL,7.0,37.0,37.0,12.0,25.0,28.000000000000004,58.333333333333336,2.0192870762742423e-07,0.0945945945945946,0.1891891891891892
IN,CH,1.0,383.0,25.0,199.0,10.0,10.0,0.5025125628140703,7.272766487484173e-10,0.0024509803921568627,0.004784688995215311
IN,HK,2.0,383.0,32.0,199.0,16.0,12.5,1.0050251256281406,1.4556833712355194e-09,0.004819277108433735,0.009302325581395349
PL,PL,7.0,24.0,24.0,10.0,14.0,50.0,70.0,9.217591356996418e-08,0.14583333333333334,0.2916666666666667
GL,GL,1.0,2.0,2.0,1.0,1.0,100.0,100.0,8.892841262783459e-06,0.25,0.5
CA,US,66.0,466.0,7565.0,240.0,3768.0,1.7515923566878981,27.500000000000004,1.804122658089904e-07,0.008218154650728428,0.016467065868263474
IL,IL,2.0,11.0,11.0,6.0,5.0,40.0,33.33333333333333,1.1045696044536247e-07,0.09090909090909091,0.18181818181818182
ZA,ZA,165.0,412.0,412.0,191.0,221.0,74.6606334841629,86.38743455497382,1.4088530962407188e-06,0.20024271844660194,0.40048543689320387
CO,CO,2.0,10.0,10.0,4.0,6.0,33.33333333333333,50.0,1.9865138356814952e-08,0.1,0.2
US,CA,63.0,7565.0,466.0,3797.0,226.0,27.876106194690266,1.6592046352383463,1.722117082722181e-07,0.007844602166604408,0.015659955257270694
NP,NP,1.0,2.0,2.0,1.0,1.0,100.0,100.0,1.7477194882257885e-08,0.25,0.5
US,GB,109.0,7565.0,1361.0,3797.0,674.0,16.172106824925816,2.870687384777456,2.758977302091167e-07,0.01221151691687206,0.024379333482442405
DE,US,11.0,63.0,7565.0,38.0,3768.0,0.291932059447983,28.947368421052634,2.673976690147861e-08,0.0014420555846879916,0.002890173410404624
CZ,CZ,1.0,4.0,4.0,1.0,3.0,33.33333333333333,100.0,4.686163418327529e-08,0.125,0.25
CH,CH,4.0,25.0,25.0,15.0,10.0,40.0,26.666666666666668,2.3324072121762853e-07,0.08,0.16
GR,GR,2.0,7.0,7.0,4.0,3.0,66.66666666666666,50.0,9.331559839280679e-08,0.14285714285714285,0.2857142857142857
HK,HK,5.0,32.0,32.0,16.0,16.0,31.25,31.25,3.3300476862828676e-07,0.078125,0.15625
MY,MY,3.0,10.0,10.0,3.0,7.0,42.857142857142854,100.0,4.6948684493165635e-08,0.15,0.3
NG,NG,38.0,95.0,95.0,46.0,49.0,77.55102040816327,82.6086956521739,9.4544485143302e-08,0.2,0.4
IE,IE,3.0,17.0,17.0,10.0,7.0,42.857142857142854,30.0,3.035549932367947e-07,0.08823529411764706,0.17647058823529413
GB,US,126.0,1361.0,7565.0,687.0,3768.0,3.343949044585987,18.340611353711793,3.189276514343918e-07,0.014116065426842931,0.028282828282828285
ES,ES,3.0,12.0,12.0,6.0,6.0,50.0,50.0,3.186284125926112e-08,0.125,0.25
SD,SD,1.0,3.0,3.0,2.0,1.0,100.0,50.0,1.1678630801062045e-08,0.16666666666666666,0.3333333333333333
US,CO,4.0,7565.0,10.0,3797.0,6.0,66.66666666666666,0.10534632604687912,1.0565827368232603e-08,0.000528052805280528,0.001051801209571391
SI,SI,2.0,6.0,6.0,2.0,4.0,50.0,100.0,4.789395894338264e-07,0.16666666666666666,0.3333333333333333
IE,US,4.0,17.0,7565.0,10.0,3768.0,0.10615711252653928,40.0,1.2005487696420547e-08,0.0005275652862041678,0.0010587612493382743
US,MC,1.0,7565.0,4.0,3797.0,3.0,33.33333333333333,0.02633658151171978,3.0461941296811204e-09,0.0001321178491214163,0.0002631578947368421
KE,KE,16.0,44.0,44.0,23.0,21.0,76.19047619047619,69.56521739130434,1.5216654826524142e-07,0.18181818181818182,0.36363636363636365
US,IN,22.0,7565.0,383.0,3797.0,184.0,11.956521739130435,0.5794047932578351,1.2981975942029959e-08,0.0027679919476597888,0.00552624968600854
ID,ID,3.0,8.0,8.0,4.0,4.0,75.0,75.0,5.54271353991209e-09,0.1875,0.375
ZA,US,22.0,412.0,7565.0,191.0,3768.0,0.583864118895966,11.518324607329843,5.687726351634069e-08,0.002757929046007271,0.0055569588279868656
PH,PH,6.0,21.0,21.0,6.0,15.0,40.0,100.0,2.7747816558999743e-08,0.14285714285714285,0.2857142857142857
US,GU,7.0,7565.0,10.0,3797.0,10.0,70.0,0.18435607058203846,2.1315026478271917e-08,0.0009240924092409241,0.0018387181507748883
GB,MX,5.0,1361.0,37.0,687.0,19.0,26.31578947368421,0.727802037845706,2.5718850354632597e-08,0.00357653791130186,0.007082152974504249
IN,CA,1.0,383.0,466.0,199.0,226.0,0.4424778761061947,0.5025125628140703,7.122471530441412e-10,0.001177856301531213,0.002352941176470588
SE,SE,6.0,17.0,17.0,6.0,11.0,54.54545454545454,100.0,2.916740759984028e-07,0.17647058823529413,0.35294117647058826
IL,PL,1.0,11.0,24.0,6.0,14.0,7.142857142857142,16.666666666666664,2.126565795711797e-08,0.02857142857142857,0.05
US,AU,35.0,7565.0,230.0,3797.0,120.0,29.166666666666668,0.9217803529101922,9.898082834679704e-08,0.004490057729313663,0.008935409752361501
EG,EG,1.0,4.0,4.0,2.0,2.0,50.0,50.0,4.980671359236072e-09,0.125,0.25
IN,GB,2.0,383.0,1361.0,199.0,674.0,0.2967359050445104,1.0050251256281406,1.3954278648325413e-09,0.0011467889908256881,0.002290950744558992
VN,VN,1.0,3.0,3.0,2.0,1.0,100.0,50.0,5.183382581342356e-09,0.16666666666666666,0.3333333333333333
CO,US,2.0,10.0,7565.0,4.0,3768.0,0.05307855626326964,50.0,5.2829136841163015e-09,0.000264026402640264,0.0005302226935312832
US,NO,2.0,7565.0,11.0,3797.0,5.0,40.0,0.05267316302343956,5.995429941559037e-09,0.00026399155227032733,0.0005260389268805891
PA,PA,2.0,7.0,7.0,3.0,4.0,50.0,66.66666666666666,2.3549143176200106e-07,0.14285714285714285,0.2857142857142857
PF,PF,3.0,7.0,7.0,3.0,4.0,75.0,100.0,5.370819264770648e-06,0.21428571428571427,0.42857142857142855
RO,RO,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.5831057444965383e-08,0.25,0.5
IT,BJ,1.0,15.0,2.0,8.0,2.0,50.0,12.5,1.3869905034285919e-08,0.058823529411764705,0.1
US,SR,1.0,7565.0,2.0,3797.0,2.0,50.0,0.02633658151171978,3.041169266326582e-09,0.0001321527686005022,0.00026322716504343247
PK,PK,1.0,7.0,7.0,3.0,4.0,25.0,33.33333333333333,2.3087722661114186e-09,0.07142857142857142,0.14285714285714285
GB,CA,6.0,1361.0,466.0,687.0,226.0,2.6548672566371683,0.8733624454148471,5.7458238849244776e-08,0.003284072249589491,0.0065717415115005475
RU,NL,1.0,8.0,37.0,6.0,25.0,4.0,16.666666666666664,6.184047710917537e-09,0.022222222222222223,0.03225806451612903
HK,US,10.0,32.0,7565.0,16.0,3768.0,0.2653927813163482,62.5,2.978433848521078e-08,0.001316309069369488,0.002642706131078224
MX,AU,1.0,37.0,230.0,18.0,120.0,0.8333333333333334,5.555555555555555,6.538518846064409e-09,0.003745318352059925,0.007246376811594203
GB,HK,1.0,1361.0,32.0,687.0,16.0,6.25,0.1455604075691412,1.3451381762925988e-08,0.0007178750897343862,0.001422475106685633
ER,ER,1.0,2.0,2.0,1.0,1.0,100.0,100.0,1.429749133357563e-07,0.25,0.5
US,SK,3.0,7565.0,3.0,3797.0,3.0,100.0,0.07900974453515934,8.990283409574333e-09,0.0003964059196617336,0.0007894736842105263
CA,GB,13.0,466.0,1361.0,240.0,674.0,1.9287833827893175,5.416666666666667,1.2449285084003035e-07,0.0071154898741105635,0.014223194748358862
AU,US,17.0,230.0,7565.0,110.0,3768.0,0.45116772823779194,15.454545454545453,4.8076402339872846e-08,0.0021808851828094933,0.004383702939659618
MX,GB,6.0,37.0,1361.0,18.0,674.0,0.8902077151335311,33.33333333333333,3.0862620425559115e-08,0.004291845493562232,0.008670520231213872
US,SE,4.0,7565.0,17.0,3797.0,11.0,36.36363636363637,0.10534632604687912,1.1815967162198396e-08,0.0005275652862041678,0.0010504201680672268
NG,GB,1.0,95.0,1361.0,46.0,674.0,0.1483679525222552,2.1739130434782608,3.734157779607648e-09,0.0006868131868131869,0.001388888888888889
US,BJ,1.0,7565.0,2.0,3797.0,2.0,50.0,0.02633658151171978,2.9408246614638812e-09,0.0001321527686005022,0.00026322716504343247
IN,PK,2.0,383.0,7.0,199.0,4.0,50.0,1.0050251256281406,1.263437389430277e-09,0.005128205128205128,0.009852216748768473
IN,US,21.0,383.0,7565.0,199.0,3768.0,0.5573248407643312,10.552763819095476,1.2391886126483143e-08,0.002642174131857071,0.005293672800604991
SG,SG,1.0,6.0,6.0,2.0,4.0,25.0,50.0,8.766440802241544e-08,0.08333333333333333,0.16666666666666666
FR,GB,4.0,40.0,1361.0,17.0,674.0,0.5934718100890208,23.52941176470588,2.987431308871628e-08,0.0028551034975017845,0.005788712011577424
US,GR,1.0,7565.0,7.0,3797.0,3.0,33.33333333333333,0.02633658151171978,2.9502367778906424e-09,0.00013206550449022716,0.0002631578947368421
