Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
US,US,206139.0,451069.0,451069.0,227614.0,223455.0,92.25078874941264,90.56516734471518,0.00031400697593628906,0.2285005176591608,0.4570010353183216
CH,CH,418.0,1601.0,1601.0,830.0,771.0,54.215304798962386,50.36144578313253,2.437365536724218e-05,0.13054341036851969,0.26108682073703937
GB,GB,22922.0,62857.0,62857.0,31618.0,31239.0,73.37622843240821,72.49667910683787,0.00017148353456576744,0.18233450530569387,0.36466901061138773
NG,NG,2134.0,5371.0,5371.0,2620.0,2751.0,77.57179207560887,81.45038167938932,5.309419244626486e-06,0.19865946751070565,0.3973189350214113
ZA,ZA,5623.0,13577.0,13577.0,6692.0,6885.0,81.67029774872913,84.02570233114166,4.801200581916098e-05,0.2070781468660234,0.4141562937320468
CA,CA,10603.0,30621.0,30621.0,14624.0,15997.0,66.28117772082265,72.50410284463895,0.00014103761866886345,0.17313281734757194,0.3462656346951439
PL,PL,176.0,607.0,607.0,274.0,333.0,52.85285285285285,64.23357664233576,2.3175658269019566e-06,0.14497528830313014,0.2899505766062603
DE,DE,738.0,2910.0,2910.0,1462.0,1448.0,50.966850828729285,50.47879616963065,4.438681295934713e-06,0.1268041237113402,0.2536082474226804
IN,IN,8197.0,20521.0,20521.0,9814.0,10707.0,76.55739236013824,83.52353780313837,2.9994487322798645e-06,0.1997222357584913,0.3994444715169826
JP,JP,404.0,1556.0,1556.0,644.0,912.0,44.29824561403509,62.732919254658384,1.5998107978216057e-06,0.12982005141388175,0.2596401028277635
AU,AU,6395.0,17758.0,17758.0,8580.0,9178.0,69.67748964916105,74.53379953379954,0.00012606297503022653,0.18005969140668995,0.3601193828133799
NO,NO,195.0,749.0,749.0,357.0,392.0,49.744897959183675,54.621848739495796,1.8231468973966583e-05,0.130173564753004,0.260347129506008
IE,IE,273.0,1039.0,1039.0,518.0,521.0,52.39923224568138,52.702702702702695,2.762350438454832e-05,0.13137632338787295,0.2627526467757459
TR,TR,128.0,456.0,456.0,193.0,263.0,48.669201520912544,66.32124352331607,7.671136921823264e-07,0.14035087719298245,0.2807017543859649
CN,CN,140.0,2072.0,2072.0,1727.0,345.0,40.57971014492754,8.106543138390272,5.008174055512032e-08,0.033783783783783786,0.06756756756756757
US,GB,6272.0,451069.0,62857.0,227614.0,31239.0,20.077467268478504,2.755542277715782,1.5875509760289725e-05,0.0122040916396524,0.02422996836042078
FJ,FJ,22.0,53.0,53.0,30.0,23.0,95.65217391304348,73.33333333333333,1.2360203291634501e-05,0.20754716981132076,0.41509433962264153
IL,IL,458.0,1418.0,1418.0,773.0,645.0,71.0077519379845,59.2496765847348,2.5294643941988005e-05,0.1614950634696756,0.3229901269393512
