Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
US,US,97472.0,217023.0,217023.0,109386.0,107637.0,90.5562213736912,89.10829539429177,0.00014847694011546562,0.22456605981854458,0.44913211963708916
CH,CH,282.0,1060.0,1060.0,558.0,502.0,56.17529880478087,50.53763440860215,1.644347084584281e-05,0.1330188679245283,0.2660377358490566
GB,GB,11667.0,32773.0,32773.0,16613.0,16160.0,72.19678217821782,70.22813459339072,8.72828897032898e-05,0.17799713178531107,0.35599426357062214
NG,NG,1139.0,2909.0,2909.0,1410.0,1499.0,75.98398932621748,80.78014184397163,2.8338465415321307e-06,0.19577174286696458,0.39154348573392916
ZA,ZA,3724.0,8957.0,8957.0,4407.0,4550.0,81.84615384615384,84.50192874971636,3.179738745697234e-05,0.20788210338282906,0.4157642067656581
CA,CA,5047.0,15193.0,15193.0,7352.0,7841.0,64.36678995026145,68.64798694232861,6.713353403958822e-05,0.166096228526295,0.33219245705259
PL,PL,111.0,377.0,377.0,170.0,207.0,53.62318840579711,65.29411764705883,1.461646629466575e-06,0.14721485411140584,0.29442970822281167
DE,DE,352.0,1493.0,1493.0,784.0,709.0,49.647390691114246,44.89795918367347,2.1170946018550393e-06,0.11788345612860013,0.23576691225720026
IN,IN,6070.0,15507.0,15507.0,7298.0,8209.0,73.9432330369107,83.17347218416005,2.221136245570182e-06,0.1957180628103437,0.3914361256206874
IE,IE,132.0,550.0,550.0,287.0,263.0,50.19011406844106,45.99303135888502,1.335641970241897e-05,0.12,0.24
TR,TR,67.0,213.0,213.0,98.0,115.0,58.26086956521739,68.36734693877551,4.0153607325168645e-07,0.1572769953051643,0.3145539906103286
CN,CN,69.0,1721.0,1721.0,1517.0,204.0,33.82352941176471,4.548450889914305,2.46831435593093e-08,0.020046484601975594,0.04009296920395119
US,GB,3296.0,217023.0,32773.0,109386.0,16160.0,20.396039603960396,3.0131826741996233,8.342742374029804e-06,0.013194766929814729,0.026253325474328133
IL,IL,280.0,865.0,865.0,481.0,384.0,72.91666666666666,58.21205821205822,1.5463974462350744e-05,0.16184971098265896,0.3236994219653179
CU,CU,45.0,167.0,167.0,59.0,108.0,41.66666666666667,76.27118644067797,1.9852679004327266e-06,0.1347305389221557,0.2694610778443114
AU,AU,3029.0,8752.0,8752.0,4312.0,4440.0,68.22072072072072,70.24582560296847,5.9709890753175315e-05,0.1730461608775137,0.3460923217550274
CN,AU,20.0,1721.0,8752.0,1517.0,4440.0,0.45045045045045046,1.3183915622940012,1.4054030510894077e-08,0.0019096724911677647,0.0033573946617424877
US,RU,35.0,217023.0,136.0,109386.0,61.0,57.377049180327866,0.03199678203792076,7.405635415177208e-08,0.00016117222864352846,0.00031978948714903103
AT,AT,26.0,125.0,125.0,43.0,82.0,31.70731707317073,60.46511627906976,1.46444766047164e-06,0.104,0.208
BE,BE,108.0,358.0,358.0,188.0,170.0,63.52941176470588,57.446808510638306,4.702171837386707e-06,0.15083798882681565,0.3016759776536313
IT,IT,113.0,565.0,565.0,245.0,320.0,35.3125,46.12244897959184,9.370222223195178e-07,0.1,0.2
DO,DO,6.0,16.0,16.0,9.0,7.0,85.71428571428571,66.66666666666666,2.7935671226202765e-07,0.1875,0.375
FR,GB,31.0,607.0,32773.0,274.0,16160.0,0.19183168316831684,11.313868613138686,2.315259264375512e-07,0.0009286998202516477,0.0018863332116344164
ES,ES,86.0,393.0,393.0,168.0,225.0,38.22222222222222,51.19047619047619,9.134014494321522e-07,0.10941475826972011,0.21882951653944022
HK,HK,355.0,1522.0,1522.0,649.0,873.0,40.664375715922105,54.699537750385204,2.364333857260836e-05,0.11662286465177397,0.23324572930354795
EG,EG,40.0,149.0,149.0,59.0,90.0,44.44444444444444,67.79661016949152,1.9922685436944288e-07,0.1342281879194631,0.2684563758389262
GB,US,3459.0,32773.0,217023.0,16613.0,107637.0,3.213578973772959,20.82104376091013,8.755323383425088e-06,0.013847299396307387,0.02783903420523139
NL,NL,482.0,1489.0,1489.0,646.0,843.0,57.1767497034401,74.61300309597523,1.3904233868059783e-05,0.1618535930154466,0.3237071860308932
DK,DK,46.0,172.0,172.0,70.0,102.0,45.09803921568628,65.71428571428571,3.952872819066871e-06,0.13372093023255813,0.26744186046511625
US,AU,1009.0,217023.0,8752.0,109386.0,4440.0,22.725225225225227,0.9224215164646299,2.853475880054806e-06,0.004469051046395748,0.00886440707746912
ID,ID,42.0,134.0,134.0,56.0,78.0,53.84615384615385,75.0,7.759798955876926e-08,0.15671641791044777,0.31343283582089554
NG,US,162.0,2909.0,217023.0,1410.0,107637.0,0.15050586694166504,11.48936170212766,3.0612064302976653e-07,0.0007365913100412855,0.0014855979531761534
KE,KE,587.0,1452.0,1452.0,730.0,722.0,81.30193905817174,80.41095890410959,5.582610239481045e-06,0.20213498622589532,0.40426997245179064
NO,NO,130.0,436.0,436.0,203.0,233.0,55.793991416309005,64.03940886699507,1.2154312649311055e-05,0.14908256880733944,0.2981651376146789
IL,NG,7.0,865.0,2909.0,481.0,1499.0,0.46697798532354906,1.4553014553014554,3.333065116821861e-08,0.0018547959724430313,0.0035353535353535356
PH,PH,167.0,422.0,422.0,194.0,228.0,73.24561403508771,86.08247422680412,7.723142275588262e-07,0.19786729857819904,0.3957345971563981
PR,PR,50.0,263.0,263.0,133.0,130.0,38.46153846153847,37.59398496240601,7.827925906489476e-06,0.09505703422053231,0.19011406844106463
NP,NP,51.0,130.0,130.0,61.0,69.0,73.91304347826086,83.60655737704919,8.913369389951522e-07,0.19615384615384615,0.3923076923076923
CA,US,1800.0,15193.0,217023.0,7352.0,107637.0,1.672287410462945,24.483133841131664,4.920334522063375e-06,0.0077514038653667275,0.01565367122072546
DE,ZA,12.0,1493.0,8957.0,784.0,4550.0,0.26373626373626374,1.530612244897959,8.46912941280724e-08,0.0011483253588516747,0.0022497187851518562
US,SE,115.0,217023.0,608.0,109386.0,356.0,32.30337078651686,0.10513228383888248,3.397090559132039e-07,0.0005284173670111335,0.001047912376300778
JP,JP,242.0,1031.0,1031.0,396.0,635.0,38.110236220472444,61.111111111111114,9.583025076060113e-07,0.11736178467507274,0.2347235693501455
GB,DE,44.0,32773.0,1493.0,16613.0,709.0,6.205923836389281,0.2648528261000421,2.9339748175874505e-07,0.0012840716745461975,0.0025401223877150447
US,ZA,548.0,217023.0,8957.0,109386.0,4550.0,12.043956043956044,0.5009781873365878,1.41676092758885e-06,0.0024249933622444465,0.0048097177362729955
FI,FI,282.0,598.0,598.0,293.0,305.0,92.45901639344262,96.24573378839591,2.5542025326820177e-05,0.23578595317725753,0.47157190635451507
US,IN,999.0,217023.0,15507.0,109386.0,8209.0,12.169569984163722,0.9132795787395096,5.894997257312695e-07,0.004296219842600955,0.008495259152174837
IN,US,843.0,15507.0,217023.0,7298.0,107637.0,0.7831879372334791,11.551109893121403,4.974457145059661e-07,0.0036253386659785836,0.007334580415017183
BR,BR,53.0,177.0,177.0,76.0,101.0,52.475247524752476,69.73684210526315,1.2556294428463704e-07,0.1497175141242938,0.2994350282485876
CN,US,443.0,1721.0,217023.0,1517.0,107637.0,0.41156851268615813,29.20237310481213,2.5666956695359e-07,0.002025198405441978,0.004058486175495172
CN,NZ,13.0,1721.0,401.0,1517.0,227.0,5.726872246696035,0.8569545154911009,9.268289900700968e-09,0.006126295947219604,0.007454128440366973
GB,ZA,110.0,32773.0,8957.0,16613.0,4550.0,2.417582417582418,0.6621320652501053,8.772442249916114e-07,0.0026359932901988976,0.005197750791475689
MX,MX,136.0,766.0,766.0,398.0,368.0,36.95652173913043,34.17085427135678,5.3301758207877e-07,0.08877284595300261,0.17754569190600522
US,HK,303.0,217023.0,1522.0,109386.0,873.0,34.707903780068726,0.2770007130711426,9.024654561018866e-07,0.001386442151501979,0.002748074987075885
FR,FR,144.0,607.0,607.0,274.0,333.0,43.24324324324324,52.55474452554745,1.0736671834833245e-06,0.1186161449752883,0.2372322899505766
CO,CO,65.0,223.0,223.0,104.0,119.0,54.621848739495796,62.5,6.456169965964859e-07,0.14573991031390135,0.2914798206278027
PA,US,10.0,149.0,217023.0,64.0,107637.0,0.009290485613683027,15.625,3.0076457784404146e-08,4.6046451660435045e-05,9.284964856408019e-05
