i,j,count
'US','US',6592788
'IN','IN',1375358
'GB','GB',1014896
'CO','CO',687697
'ZA','ZA',269271
'GB','US',261883
'US','GB',228077
'CA','CA',185536
'US','CA',136135
'TR','TR',115972
'JP','JP',115151
'AU','AU',101220
'IN','US',99852
'DE','DE',95779
'HK','HK',95149
'US','IN',88797
'CU','CU',81384
'CA','US',75369
'MY','MY',68483
'ID','ID',61104
'KE','KE',53375
'TH','TH',44580
'SA','SA',42960
'US','ZA',42418
'US','AU',40132
'IT','IT',39247
'AU','US',30879
'NG','NG',26672
'PA','PA',26108
'US','DE',24817
'MX','MX',24354
'US','JP',23498
'BR','BR',21609
'US','NG',21557
'US','CO',21557
'HK','US',20692
'GB','NG',20505
'GB','IN',19845
'VE','VE',19171
'ES','ES',19110
'ZA','US',18191
'NL','NL',17978
'US','IT',17624
'US','NL',17136
'DE','US',16948
'US','MY',16698
'PK','PK',16112
'US','MX',16035
'NL','US',15148
'US','KE',14005
'KR','US',13069
'GB','AU',12972
'US','PR',12758
'BE','BE',12730
'GB','HK',12648
'MX','US',12305
'US','HK',11872
'FR','US',11758
'IT','US',11703
'NG','US',11539
'MX','GB',11272
'GB','CA',11134
'US','ID',11039
'US','ES',10269
'US','TR',10241
'US','FR',9888
'ID','US',9716
'SE','SE',9607
'PH','PH',9347
'AU','GB',9187
'CO','US',9133
'MY','US',8856
'GB','MY',8839
'US','BR',8735
'HK','GB',8467
'AR','AR',8403
'FR','FR',8267
'DK','DK',7753
'PL','PL',7700
'US','PH',7618
'ZW','ZW',7420
'NP','NP',7039
'GB','DE',7020
'KE','US',6549
'CA','GB',6155
'HK','IN',6113
'US','TH',6105
'SI','SI',5969
'DE','GB',5771
'JP','US',5755
'US','SE',5402
'BR','US',5229
'US','CH',5215
'CH','CH',5024
'CL','CL',4808
'US','NO',4785
'US','IE',4755
'CN','US',4707
'US','PK',4704
'PT','PT',4702
'KR','KR',4579
'TH','US',4440
'PH','US',4360
'GB','CO',4348
'GB','MX',4305
'EG','EG',4285
'CH','US',4042
'US','PL',3884
'BD','BD',3852
'IQ','IQ',3818
'US','PT',3769
'DE','CH',3690
'US','NZ',3661
'IN','GB',3416
'AT','DE',3394
'ES','US',3388
'BN','BN',3338
'GB','FR',3253
'US','BE',3247
'GB','ES',3204
'US','GR',3198
'US','KR',3163
'GB','IT',3140
'US','CL',3057
'BE','US',3005
'IN','CA',2985
'IT','GB',2954
'US','AT',2954
'CO','VE',2943
'GR','GB',2899
'IL','US',2855
'RU','RU',2766
'US','CN',2765
'GB','ZA',2672
'AU','HK',2619
'GB','SE',2593
'PR','PR',2582
'US','SA',2515
'GB','TR',2458
'US','SG',2442
'IN','SA',2417
'US','PA',2415
'ZW','NG',2411
'CH','DE',2409
'US','VE',2407
'NO','US',2384
'CA','IN',2379
'TR','US',2312
'GB','GR',2307
'DE','AT',2291
'HK','TW',2261
'PL','US',2243
