i,j,count,vi,vj,cij
'GB','US',261883,714016.0,1617816.0,0.11230783349743892
'US','GB',228077,1617816.0,714016.0,0.09781021960415673
'US','CA',136135,1617816.0,259814.0,0.0725036349014449
'IN','US',99852,259796.0,1617816.0,0.053180316274075795
'US','IN',88797,1617816.0,259796.0,0.047292518369077316
'CA','US',75369,259814.0,1617816.0,0.04014049626390716
'US','ZA',42418,1617816.0,80877.0,0.02497096296976558
'US','AU',40132,1617816.0,119320.0,0.023102393825238782
'AU','US',30879,119320.0,1617816.0,0.017775810299251182
'US','DE',24817,1617816.0,86225.0,0.014563616720489706
'US','JP',23498,1617816.0,40643.0,0.01416857456228945
'US','NG',21557,1617816.0,70751.0,0.012766446341779746
'US','CO',21557,1617816.0,53611.0,0.012897362553075905
'HK','US',20692,78856.0,1617816.0,0.012195639463608758
'GB','NG',20505,714016.0,70751.0,0.026128774527980916
'GB','IN',19845,714016.0,259796.0,0.020378676787716727
'ZA','US',18191,80877.0,1617816.0,0.01070882142918114
'US','IT',17624,1617816.0,48194.0,0.010578567955774575
'US','NL',17136,1617816.0,42375.0,0.010321703948521586
'DE','US',16948,86225.0,1617816.0,0.00994577008417051
'US','MY',16698,1617816.0,45204.0,0.010040769203016199
'US','MX',16035,1617816.0,55562.0,0.00958241353716853
'NL','US',15148,42375.0,1617816.0,0.009124251366258461
'US','KE',14005,1617816.0,30837.0,0.008494813644836117
'KR','US',13069,24753.0,1617816.0,0.007956438968469513
'GB','AU',12972,714016.0,119320.0,0.0155663501876794
'US','PR',12758,1617816.0,16266.0,0.0078074417318102765
'GB','HK',12648,714016.0,78856.0,0.01595213350957027
'MX','US',12305,55562.0,1617816.0,0.007353389371678127
'US','HK',11872,1617816.0,78856.0,0.006997227513626676
'FR','US',11758,33733.0,1617816.0,0.0071193770212085745
'IT','US',11703,48194.0,1617816.0,0.007024567679665789
'NG','US',11539,70751.0,1617816.0,0.006833605062754395
'MX','GB',11272,55562.0,714016.0,0.014646988349459053
'GB','CA',11134,714016.0,259814.0,0.011433207027920684
'US','ID',11039,1617816.0,36044.0,0.006674688304935121
'US','ES',10269,1617816.0,27634.0,0.0062408459691877605
'US','TR',10241,1617816.0,22031.0,0.006245094816772541
'US','FR',9888,1617816.0,33733.0,0.0059871066495756405
'ID','US',9716,36044.0,1617816.0,0.005874741513791978
'AU','GB',9187,119320.0,714016.0,0.01102436472203289
'CO','US',9133,53611.0,1617816.0,0.005464193171463665
'MY','US',8856,45204.0,1617816.0,0.005325251650611538
'GB','MY',8839,714016.0,45204.0,0.011642211743631621
'US','BR',8735,1617816.0,18534.0,0.0053381000397225535
'HK','GB',8467,78856.0,714016.0,0.010678898990000909
'US','PH',7618,1617816.0,18017.0,0.004656954591330533
'GB','DE',7020,714016.0,86225.0,0.008772357327355134
'KE','US',6549,30837.0,1617816.0,0.0039723337779387176
'CA','GB',6155,259814.0,714016.0,0.006320404998819096
'HK','IN',6113,78856.0,259796.0,0.018050978585686783
'US','TH',6105,1617816.0,18117.0,0.003731815422758756
'DE','GB',5771,86225.0,714016.0,0.007211577512274427
'JP','US',5755,40643.0,1617816.0,0.0034700887993010378
'US','SE',5402,1617816.0,14655.0,0.003309094005345271
'BR','US',5229,18534.0,1617816.0,0.0031955266293885783
'US','CH',5215,1617816.0,24498.0,0.0031753976401589466
'US','NO',4785,1617816.0,11559.0,0.0029367088607594937
'US','IE',4755,1617816.0,11239.0,0.002918870142505931
'CN','US',4707,18011.0,1617816.0,0.002877443641656483
'US','PK',4704,1617816.0,14986.0,0.0028809371865051612
'TH','US',4440,18117.0,1617816.0,0.0027140475801881864
'PH','US',4360,18017.0,1617816.0,0.002665308744841313
'GB','CO',4348,714016.0,53611.0,0.005664209309990399
'GB','MX',4305,714016.0,55562.0,0.005593974879739286
'CH','US',4042,24498.0,1617816.0,0.0024611615074827346
'US','PL',3884,1617816.0,12346.0,0.00238258528906943
'US','PT',3769,1617816.0,7427.0,0.0023190378300352622
'DE','CH',3690,86225.0,24498.0,0.033326409147151
'US','NZ',3661,1617816.0,9278.0,0.002250023661816711
'IN','GB',3416,259796.0,714016.0,0.003507863940883867
'AT','DE',3394,12430.0,86225.0,0.034402716537428414
'ES','US',3388,27634.0,1617816.0,0.002059011212738157
'GB','FR',3253,714016.0,33733.0,0.004350390304768044
'US','BE',3247,1617816.0,16868.0,0.0019863166214387613
'GB','ES',3204,714016.0,27634.0,0.004320097080833277
'US','GR',3198,1617816.0,11427.0,0.001962874782951346
'US','KR',3163,1617816.0,24753.0,0.0019256420887037318
'GB','IT',3140,714016.0,48194.0,0.004119599585416093
'US','CL',3057,1617816.0,6002.0,0.0018826001436121535
'BE','US',3005,16868.0,1617816.0,0.0018382757768473908
'IN','CA',2985,259796.0,259814.0,0.005744693135236042
'IT','GB',2954,48194.0,714016.0,0.003875572348827751
'US','AT',2954,1617816.0,12430.0,0.0018119964716981365
'CO','VE',2943,53611.0,13215.0,0.04403974500942747
'GR','GB',2899,11427.0,714016.0,0.003996178886556214
'IL','US',2855,9907.0,1617816.0,0.0017539839395277943
'US','CN',2765,1617816.0,18011.0,0.0016902765390227694
'GB','ZA',2672,714016.0,80877.0,0.0033614587120530687
'AU','HK',2619,119320.0,78856.0,0.013215525593411917
'GB','SE',2593,714016.0,14655.0,0.0035585332749622257
'US','SA',2515,1617816.0,11250.0,0.001543829408998776
'GB','TR',2458,714016.0,22031.0,0.0033394606594415845
'US','SG',2442,1617816.0,5384.0,0.0015044356826022672
'IN','SA',2417,259796.0,11250.0,0.008917305549611504
'US','PA',2415,1617816.0,4481.0,0.001488630010411164
'ZW','NG',2411,8357.0,70751.0,0.030477322141881983
'CH','DE',2409,24498.0,86225.0,0.021756997191188822
'US','VE',2407,1617816.0,13215.0,0.0014757536797277305
'NO','US',2384,11559.0,1617816.0,0.0014631377061756809
'CA','IN',2379,259814.0,259796.0,0.004578433825369026
'TR','US',2312,22031.0,1617816.0,0.0014098876297605812
'GB','GR',2307,714016.0,11427.0,0.0031801257989945452
'DE','AT',2291,86225.0,12430.0,0.023222340479448583
'HK','TW',2261,78856.0,6517.0,0.026483782929029084
'PL','US',2243,12346.0,1617816.0,0.0013759368700779432
'GB','JP',2232,714016.0,40643.0,0.0029576272197111542
'PS','US',2229,2687.0,1617816.0,0.0013754988420262104
'CN','IN',2130,18011.0,259796.0,0.007667193411253136
'ZA','ZW',2122,80877.0,8357.0,0.023780173476477574
'GB','IE',2115,714016.0,11239.0,0.00291621567586573
'SE','US',2097,14655.0,1617816.0,0.0012845557440224053
'US','EG',2058,1617816.0,5224.0,0.0012679909305993691
'IN','AU',2038,259796.0,119320.0,0.005375663385349075
'US','AE',1986,1617816.0,4878.0,0.001223890641119028
'PR','US',1976,16266.0,1617816.0,0.0012092416414843318
'PK','US',1976,14986.0,1617816.0,0.0012101896004536987
'US','AR',1916,1617816.0,4849.0,0.0011807736039170132
'GB','KE',1880,714016.0,30837.0,0.0025239879546702505
'US','GH',1821,1617816.0,5350.0,0.0011218815574007834
'KR','IN',1773,24753.0,259796.0,0.006230912777764111
'NZ','US',1753,9278.0,1617816.0,0.001077380901164899
'GB','GH',1744,714016.0,5350.0,0.002424357003250084
'ZA','KE',1719,80877.0,30837.0,0.015387507384929373
'NG','GB',1681,70751.0,714016.0,0.0021420370632302325
'AU','CA',1628,119320.0,259814.0,0.0042939963179245335
'GB','PK',1608,714016.0,14986.0,0.0022057552654176533
'CA','AU',1595,259814.0,119320.0,0.004206955852020657
'VE','CO',1590,13215.0,53611.0,0.023793134408763055
'FJ','US',1577,2325.0,1617816.0,0.0009733720707024883
'US','DK',1560,1617816.0,6051.0,0.0009606698085495918
'GB','NL',1536,714016.0,42375.0,0.002030695764492174
'US','CU',1523,1617816.0,7869.0,0.0009368358568849439
'ZA','GB',1504,80877.0,714016.0,0.001892078556484961
'IN','NG',1501,259796.0,70751.0,0.0045409578668086535
'HK','CA',1470,78856.0,259814.0,0.004340508459562406
'IN','PK',1457,259796.0,14986.0,0.0053023851635114385
'PL','GB',1447,12346.0,714016.0,0.0019921196318089325
'GB','ID',1431,714016.0,36044.0,0.0019078473722102232
'KW','SA',1420,3949.0,11250.0,0.09342719915783933
'AU','IN',1417,119320.0,259796.0,0.0037376423047299507
'US','IQ',1404,1617816.0,2899.0,0.000866284325128107
'US','IL',1366,1617816.0,9907.0,0.0008392091283344894
'IE','US',1354,11239.0,1617816.0,0.000831156713554791
'US','RU',1338,1617816.0,4298.0,0.0008248495481821869
'LB','US',1329,4512.0,1617816.0,0.0008191931594597393
'DE','IN',1325,86225.0,259796.0,0.0038292473578193232
'GB','NO',1324,714016.0,11559.0,0.0018247596733625055
'IN','NP',1317,259796.0,2542.0,0.005020241063056058
'IE','GB',1315,11239.0,714016.0,0.0018131553729377942
'US','SI',1314,1617816.0,1989.0,0.0008112087566095919
'ES','GB',1312,27634.0,714016.0,0.001769028517494775
'ES','CO',1312,27634.0,53611.0,0.016148686072989107
'US','TW',1252,1617816.0,6517.0,0.000770777913149582
'US','DO',1214,1617816.0,1997.0,0.0007494692288554296
'US','RS',1194,1617816.0,2371.0,0.0007369519691245517
'IT','ID',1186,48194.0,36044.0,0.014079156675134737
'MX','CO',1172,55562.0,53611.0,0.01073525505390527
'DK','HK',1161,6051.0,78856.0,0.013673784258070596
'AU','ID',1156,119320.0,36044.0,0.007440591127931825
'IN','KW',1150,259796.0,3949.0,0.00436027223264896
'CU','US',1148,7869.0,1617816.0,0.0007061638632330371
'CO','ES',1144,53611.0,27634.0,0.014080866514862454
'HK','ID',1132,78856.0,36044.0,0.009852045256744995
'CH','GB',1103,24498.0,714016.0,0.0014935397297816968
'GB','SA',1099,714016.0,11250.0,0.0015153061083795463
'GB','TH',1096,714016.0,18117.0,0.0014969957644307796
'NG','CA',1078,70751.0,259814.0,0.003261083296779756
'CA','ZA',1076,259814.0,80877.0,0.003158287128218826
'BE','GB',1070,16868.0,714016.0,0.0014639806043093022
'HK','MY',1059,78856.0,45204.0,0.008536192165081412
'ZA','IN',1041,80877.0,259796.0,0.003055716185315537
'TH','GB',1039,18117.0,714016.0,0.0014191410577039964
'FR','GB',1035,33733.0,714016.0,0.0013841543084644713
'IN','DE',1034,259796.0,86225.0,0.0029882579381020225
'DE','TR',1007,86225.0,22031.0,0.009302024830032516
'TR','ID',1006,22031.0,36044.0,0.01732242789496341
'US','BM',1002,1617816.0,1834.0,0.0006186521779396783
'US','LB',978,1617816.0,4512.0,0.0006028374040268059
'AU','JP',972,119320.0,40643.0,0.006076405168695261
'EC','US',968,1956.0,1617816.0,0.0005976149729715046
