Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
KW,EG,1517.0,45079.0,69668.0,24385.0,42986.0,3.5290559717117196,6.2210375230674595,1.450353972415319e-05,0.013220389204075053,0.022517106767006575
KW,SA,9475.0,45079.0,269395.0,24385.0,157658.0,6.00984409290997,38.85585400861185,0.00024625989695134406,0.03012967685722826,0.05204814247183358
PS,JO,39.0,23440.0,13563.0,22516.0,8541.0,0.45662100456621,0.17321016166281755,2.6374518157841348e-06,0.0010539685971407723,0.0012557555462536626
IQ,JO,197.0,39469.0,13563.0,15881.0,8541.0,2.3065214846036763,1.2404760405516027,3.986927976267538e-06,0.0037147382712324636,0.008066497420358693
SA,LB,76.0,269395.0,85128.0,111737.0,38819.0,0.19578041680620314,0.06801686102186384,1.8480584237408783e-06,0.00021437255128722255,0.0005047955577990914
TR,SA,172.0,607225.0,269395.0,296806.0,157658.0,0.1090969059610042,0.05795031097754088,1.4613654524693733e-06,0.00019620816317218406,0.0003784678214336009
LB,JO,232.0,85128.0,13563.0,46309.0,8541.0,2.716309565624634,0.5009825303936599,1.3681337011018252e-05,0.0023507716002472362,0.0042297174111212395
IQ,LB,139.0,39469.0,85128.0,15881.0,38819.0,0.35807207810608205,0.8752597443485925,3.0109066736768083e-06,0.0011155966837082755,0.0025411334552102377
LB,EG,421.0,85128.0,69668.0,46309.0,42986.0,0.9793886381612618,0.9091105400678053,3.925635374342342e-06,0.0027197085195999897,0.0047147096701942994
EG,SA,1171.0,69668.0,269395.0,26682.0,157658.0,0.7427469586066042,4.388726482272693,8.696194551947736e-06,0.003453635460076741,0.006352392318541825
SA,EG,1013.0,269395.0,69668.0,111737.0,42986.0,2.3565812124877867,0.9065931607256325,7.522839522735317e-06,0.002987645363840938,0.006547184322951339
EG,AE,190.0,69668.0,56171.0,26682.0,44256.0,0.4293203181489516,0.7120905479349374,1.7247858682883431e-06,0.0015098657808787419,0.0026783952183596946
LB,SA,473.0,85128.0,269395.0,46309.0,157658.0,0.30001649139276154,1.0213997279146603,1.1501732031966256e-05,0.0013341870626165297,0.002319002583751293
TR,JO,30.0,607225.0,13563.0,296806.0,8541.0,0.3512469265893923,0.010107612379803644,3.2074821063393865e-07,4.832567639838399e-05,9.824887750657448e-05
EG,KW,238.0,69668.0,45079.0,26682.0,20694.0,1.1500918140523824,0.8919871074132373,2.2754399830906128e-06,0.0020741282996505355,0.005023640661938535
SA,OM,280.0,269395.0,8003.0,111737.0,4132.0,6.7763794772507255,0.2505884353437089,7.13493699876112e-06,0.0010093800243693178,0.00241652210686206
JO,EG,75.0,13563.0,69668.0,5022.0,42986.0,0.1744754105987996,1.4934289127837514,6.787958924739157e-07,0.000901106558854273,0.0015622396267288784
TR,IL,131.0,607225.0,189881.0,296806.0,59518.0,0.22010148190463388,0.04413657405847591,1.4164778435022297e-06,0.00016434451628767065,0.0003676429317138335
BH,SA,19.0,3379.0,269395.0,416.0,157658.0,0.01205140240266907,4.567307692307692,5.291049493590868e-07,6.965473248916685e-05,0.00012019686982046384
IQ,SA,188.0,39469.0,269395.0,15881.0,157658.0,0.11924545535272552,1.1838045463132045,2.5551007823487548e-06,0.0006086821384169084,0.001083329971937144
OM,KW,41.0,8003.0,45079.0,3871.0,20694.0,0.1981250604039818,1.0591578403513304,4.465224558865763e-06,0.0007723898873441092,0.0016690413189497252
QA,TR,18.0,9056.0,607225.0,2720.0,310419.0,0.0057986141312226375,0.6617647058823529,2.0866738953687456e-07,2.9207455689855763e-05,5.748245986606587e-05
EG,TR,71.0,69668.0,607225.0,26682.0,310419.0,0.02287231129537818,0.26609699422831873,3.8625227404666304e-07,0.00010489102413527692,0.0002106193692691508
IQ,QA,7.0,39469.0,9056.0,15881.0,6336.0,0.11047979797979797,0.0440778288520874,1.6610566455910217e-07,0.0001442555383822772,0.000315074042399964
JO,KW,27.0,13563.0,45079.0,5022.0,20694.0,0.1304726007538417,0.5376344086021506,1.8869537207827056e-06,0.00046042085877016475,0.0010499300046663555
OM,SA,1097.0,8003.0,269395.0,3871.0,157658.0,0.6958099176698931,28.338930508912423,2.795366388443196e-05,0.003954606738332649,0.006791350160033183
LB,IQ,448.0,85128.0,39469.0,46309.0,23588.0,1.8992708156689841,0.9674145414498262,9.704217192857628e-06,0.003595592189218039,0.006409431019929325
