i,j,count
'CA','CA',185536
'US','RU',1338
'US','US',6592788
'GB','MY',8839
'IN','IN',1375358
'KR','US',13069
'BE','US',3005
'ES','ES',19110
'AU','AU',101220
'MX','MX',24354
'BE','BE',12730
'GB','MX',4305
'US','DE',24817
'IT','IT',39247
'US','IT',17624
'AR','AR',8403
'US','PA',2415
'DE','DE',95779
'GB','GB',1014896
'US','HK',11872
'US','TH',6105
'US','CA',136135
'PH','MY',634
'CU','IN',492
'US','GB',228077
'PH','PH',9347
'US','MY',16698
'JP','JP',115151
'VE','VE',19171
'IN','US',99852
'GB','US',261883
'TR','TR',115972
'GR','GR',1315
'AG','AG',1113
'US','CO',21557
'ZA','ZA',269271
'MC','MC',866
'LB','GB',115
'AU','PL',67
'MX','CO',1172
'TH','TH',44580
'PA','PA',26108
'US','ZA',42418
'KE','KE',53375
'DE','TR',1007
'CO','CO',687697
'US','AT',2954
'IN','SA',2417
'SA','SA',42960
'RU','CA',69
'CU','CU',81384
'ZA','DE',327
'US','IN',88797
'NL','NL',17978
'GB','FR',3253
'US','KE',14005
'US','TR',10241
'PK','PK',16112
'US','AU',40132
'TH','US',4440
'US','NG',21557
'HK','US',20692
'NG','US',11539
'GB','CO',4348
'BE','GB',1070
'MY','MY',68483
'US','JP',23498
'GB','IT',3140
'NL','US',15148
'NZ','GB',403
'GB','IN',19845
'EG','IT',11
'SE','US',2097
'IQ','IQ',3818
'US','SA',2515
'SE','SE',9607
'AU','US',30879
'IN','PK',1457
'JP','US',5755
'CO','ES',1144
'HK','HK',95149
'GB','JP',2232
'US','CM',309
'CL','CL',4808
'AU','FR',133
'US','SG',2442
'GB','PK',1608
'IE','IE',2144
'US','FR',9888
'CH','GB',1103
'AU','GB',9187
'US','GH',1821
'CO','CA',338
'CA','US',75369
'GB','IE',2115
'ID','ID',61104
'US','BR',8735
'DE','CH',3690
'GB','CA',11134
'GB','AU',12972
'GB','NG',20505
'ES','CL',299
'IL','VE',280
'BD','BD',3852
'GB','GH',1744
'HK','JP',651
'ES','VE',424
'DE','US',16948
'EG','US',397
'IN',None,462
'MX','SV',19
'HK','CA',1470
'US','MX',16035
'GB','PL',622
'NG','NG',26672
'ZA','US',18191
'HK','IN',6113
'MX','US',12305
'IN','NZ',457
'MA','MA',877
'CA','GB',6155
'MY','US',8856
'AU','JP',972
'OM','OM',352
'IN','GB',3416
'US','BM',1002
'TR','KR',19
'BR','BR',21609
'CH','CH',5024
'BN','BN',3338
'RU','RU',2766
'US','PE',638
'FR','US',11758
'US','ES',10269
'GB','HK',12648
'GB','NZ',835
'GB','SE',2593
'US','EG',2058
'US','HU',343
'ZW','ZW',7420
'MX','GB',11272
'KR','KR',4579
'CN','AU',164
'US','VE',2407
'NG','GB',1681
'FR','FR',8267
'MY','MX',309
'US','ID',11039
'TH','BR',6
'IN','CA',2985
'CA','DE',606
'US','SD',451
'CH','US',4042
'TM','TM',15
'DE','GB',5771
'IT','DE',415
'US','AR',1916
'GR','GB',2899
'US','SE',5402
'US','NL',17136
'DK','DK',7753
'CO','FR',30
'PL','PL',7700
'US','PH',7618
'KW','US',118
'TR','DE',848
'TW','TW',524
None,'IN',1084
'IT','US',11703
'US','KR',3163
'JP','DE',169
'US','FJ',68
'ID','US',9716
'US','CL',3057
'PK','US',1976
'US','IE',4755
'AU','DE',581
'AE','US',250
'DE','AT',2291
'EG','EG',4285
'US','NP',299
'HK','DE',659
'KR','IN',1773
'CN','FR',65
'UG','US',673
'HK','GB',8467
'KR','CH',57
'GB','PT',732
'US','BE',3247
'ES','CO',1312
'DJ','US',56
'DE','AU',404
'ID','ZA',36
'AT','DE',3394
'CZ','CZ',734
'US','NZ',3661
'US','IQ',1404
'ES','GB',1312
'SA','CA',65
'DE','BE',248
'US','PT',3769
'GB','GR',2307
'VE','CU',312
'FI','US',233
'BD','GB',282
'ZA','IN',1041
'GB','DE',7020
'HK','TW',2261
'CO','US',9133
'GH','US',528
'LB','AR',5
'US','IL',1366
'PA','US',726
'CA','BR',171
'AU','IN',1417
'PH','PK',120
'US','PR',12758
'NL','CN',11
'PL','PK',3
'US','PY',411
'NZ','NZ',2120
'VE','AR',38
'ZW','NG',2411
'JM','CA',16
'US','BS',631
'US','LY',48
'ES','US',3388
'PL','US',2243
'GR','MX',178
'KE','ZA',790
'ZA','JP',178
'US','TW',1252
'CN','ID',261
'PT','PT',4702
'MX','ES',452
'ZA','LS',11
'GB','TH',1096
'PE','US',146
'NO','US',2384
'CZ','US',168
'CH','FR',395
'CN','IN',2130
'HK','ID',1132
'JP','HK',211
'RU','US',774
'MX','BS',4
'CA','HK',455
'IL','IL',79
'GH','GH',613
'VE','CL',204
'KE','US',6549
'US','RW',46
'IN','DE',1034
'NG','GR',127
'NP','NP',7039
'ES','BE',64
'MY','PH',37
'DE','NL',740
'HR','PH',3
'IT','FR',201
'KW','SA',1420
'GB','KE',1880
'RW','RW',356
'SG','US',638
None,'PK',71
'NL','CA',198
'PL','GB',1447
'TR','NL',95
'GB','ES',3204
'BN','US',85
'DE','IN',1325
'IN','KW',1150
'IT','ID',1186
'SI','SI',5969
'JP','PH',128
'GB','ZA',2672
'US','LV',44
'US','JM',315
'ID','IT',70
'NO','AU',675
'TR','ID',1006
'US','PK',4704
'LT','TR',209
'NG','TR',182
'IN','BD',131
'GB','TR',2458
'PH','US',4360
'BR','US',5229
'US','AZ',74
'BR','IN',79
'CA','BB',8
'GB','CH',916
'DE','KE',134
'ES','MC',1
'HK','AU',797
'IT','GB',2954
'US','AG',511
'FJ','US',1577
'CO','VE',2943
'US','UM',953
'IN','HK',70
'AU','CA',1628
'GB','AT',884
'KR','IT',40
'CN','US',4707
'MY','ID',532
'DE','FR',499
'IN','ID',479
'IN','AU',2038
'GB','BS',74
'ZA','GB',1504
'UG','UG',553
'ZW','NO',1
'CO','KR',16
'HK','SA',36
'US',None,395
'SA','ID',47
'CH','DE',2409
'KH','KH',244
'NO','NO',847
'US','FI',747
'FR','MX',157
'AT','IT',101
'KR','DE',57
'LB','JO',126
'US','AE',1986
'AU','SA',84
'ZA','NG',400
'KR','PH',370
'ZA','MY',444
'CH','IN',500
'IE','US',1354
'TC','TC',708
'US','VI',894
'IR','BR',257
'CN','RU',28
'NG','IN',538
'IN','ZA',204
'CA','PR',91
'US','KW',453
'DE','ES',150
'CH','CA',481
'IT','ES',180
'TT','US',49
'KR','CO',180
'DK','US',756
'CH','IT',339
'US','PL',3884
'DE','SE',130
'PK','SA',550
'AT','CH',382
'FI','FI',536
'SG','SG',346
'MX','IN',436
'HK','PH',558
'IN','TH',421
'NL','GB',421
'NG','MU',155
'NG','NL',194
'CA','IN',2379
'IN','TW',91
'CA','NG',596
'AG','IN',215
'GB','DK',396
'RS','AT',52
'VN','VN',633
'GU','US',66
'SE','CA',81
'AE','AE',581
'CA','CU',82
'TW','IN',93
'TR','US',2312
'VC','US',85
'MX','ID',614
'US','CH',5215
'SE','AU',52
'BE','NG',133
'US','RS',1194
'CZ','VE',740
'CN','KR',104
'IT','BE',108
'NZ','US',1753
'CO','EG',14
'IL','US',2855
'ES','PR',108
'NG','KR',23
'GB','NO',1324
'MY','NG',121
'AU','PK',171
'IN','NP',1317
'IQ','IT',25
'SV','IN',11
'HK','SI',69
'US','CU',1523
'IN','LB',170
'GH','NG',171
'US','MA',481
'US','LB',978
'AU','MY',291
'KR','GB',539
'CN','TH',194
'CO','AU',458
'VN','US',898
