createdAt,followers,favourites,location,userId
2018-08-24T19:33:07,12,125,"The Woodlands, TX",1033074745070247936
2020-02-23T03:53:13,369,46189,,1231426644914642950
2021-05-14T22:44:36,4,64,,1393336345452482563
2011-11-01T11:54:27,126,71929,"Kedah, Malaysia",402659333
2017-10-31T09:39:47,301,290,,925296231605301248
2020-06-01T01:09:38,22,146,"Corrientes, Argentina",1267261946149122048
2019-03-10T08:16:59,151,1491,korea,1104657389024731136
2018-10-14T13:39:02,5,1390,,1051467415983464448
2010-04-17T19:58:36,2241,1001,"Denton, TX",134219787
2006-03-21T20:50:14,5962883,37770,🌊,12
