createdAt,followers,favourites,location,userId
2018-08-24T19:33:07,12,125,"The Woodlands, TX",1033074745070247936
2020-02-23T03:53:13,369,46189,,1231426644914642950
2021-05-14T22:44:36,4,64,,1393336345452482563
2011-11-01T11:54:27,126,71929,"Kedah, Malaysia",402659333
2017-10-31T09:39:47,301,290,,925296231605301248
2020-06-01T01:09:38,22,146,"Corrientes, Argentina",1267261946149122048
2019-03-10T08:16:59,151,1491,korea,1104657389024731136
2018-10-14T13:39:02,5,1390,,1051467415983464448
2010-04-17T19:58:36,2241,1001,"Denton, TX",134219787
2006-03-21T20:50:14,5962883,37770,🌊,12
2006-03-21T20:51:43,2727232,7148,"San Francisco, CA",13
2020-04-12T07:31:58,0,1,,1249238775298916354
2006-03-21T21:00:54,41278,69,San Francisco,14
2020-10-28T06:04:33,0,0,,1321331569563439104
2017-06-04T11:11:13,20,1258,Belgique,871323447758139392
2006-03-21T21:00:54,36989,1253,San Francisco,15
2006-03-21T21:00:55,12253,8743,"Berkeley, CA",16
2006-03-21T21:01:35,24933,55632,"Brooklyn, NY",17
2006-03-21T21:01:35,16042,6571,"Aptos, CA",18
2021-05-14T12:15:34,789,10328,Moon,1393178070270431232
2006-03-21T21:02:31,1715961,5524,NYC / SF / 🎿,20
2006-03-21T21:03:20,34822,22268,"San Francisco, CA",21
2006-03-21T21:04:12,16739,29094,"PDX, WLG",22
2017-04-13T01:28:50,399,1611,"Boston, MA",852332716875841537
2017-04-15T11:09:08,54,101,"California, USA",853203531293220864
2006-03-21T21:08:51,9637,48,San Francisco,23
2019-06-18T22:55:30,151,6201,,1141117258900619265
2011-03-18T19:40:53,66,1088,"New York, USA",268439576
2016-06-19T12:40:44,2,21,,744510225495949312
2021-10-12T13:02:59,0,3,,1447880995739521028
2014-06-06T14:33:27,73,2294,Nairobi ,2550175772
2014-12-31T09:21:42,28,1586,,2952835102
2006-03-21T23:40:20,10355,12163,San Francisco,31
2014-12-31T09:58:02,61,31,"Ikeja, Nigeria",2952835103
2021-07-05T00:59:50,6,10,Chromatica.,1411852233071906817
2006-03-22T00:16:12,11932,150,SF,34
2019-04-30T18:06:51,33,4491,,1123287615250284545
2019-03-12T16:47:50,22,277,"Houston, TX",1105510724267401217
2010-04-17T19:58:43,595,2465,"Caracas, Venezuela",134219815
2018-12-02T21:58:01,215,32349,"İstanbul, Türkiye",1069349998326935552
2011-03-18T19:40:56,197,4762,,268439592
2020-12-15T06:19:32,34,77,,1338730346792116225
2006-03-23T00:05:49,105,11458,Deep in the Archives,41
2011-03-18T19:40:56,417,3304,,268439593
2017-07-24T02:29:39,1,93,,889311585902231552
2020-12-15T05:45:09,2,1,,1338721574455660544
2017-09-09T13:56:48,157,342,岡山,906516741441777665
2017-06-02T08:30:54,9,266,,870558328190939136
2017-01-06T02:13:52,9,418,,817192427115216897
2006-03-24T03:13:02,13287,35156,"Brooklyn, NY",47
